"order"	"suborder"	"family"	"species"	"year"	"biomes"	"cerrado_sp"	"cerrado_endemic"
"Testudines"	NA	"Chelidae"	"Acanthochelys macrocephala"	1984	"Cerrado, Pantanal"	"yes"	"no"
"Testudines"	NA	"Chelidae"	"Acanthochelys radiolata"	1820	"Cerrado, Mata Atlântica"	"yes"	"no"
"Testudines"	NA	"Chelidae"	"Acanthochelys spixii"	1835	"Caatinga, Cerrado, Mata Atlântica, Pampa"	"yes"	"no"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Acratosaura mentalis"	1933	"Caatinga, Cerrado, Mata Atlântica"	"yes"	"no"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Acratosaura spinosa"	2009	"Caatinga"	"no"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Adelphostigma occipitalis"	1863	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal"	"yes"	"no"
"Squamata"	"Serpentes"	"Colubridae"	"Adelphostigma quadriocellata"	2008	"Amazônia"	"no"	"no"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Alexandresaurus camacan"	2007	"Mata Atlântica"	"no"	"no"
"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus amazonius"	1924	"Amazônia"	"no"	"no"
"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus angulatus"	1758	"Amazônia"	"no"	"no"
"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus atriventris"	1973	"Amazônia"	"no"	"no"
"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus avilapiresae"	2020	"Amazônia"	"no"	"no"
"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus brevifrontalis"	1912	"Amazônia"	"no"	"no"
"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus buckleyi"	1881	"Amazônia"	"no"	"no"
"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus collii"	2020	"Amazônia"	"yes"	"yes"
"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus gansorum"	2021	NA	"no"	"no"
"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus indigenorum"	2021	NA	"no"	"no"
"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus meloi"	2018	"Amazônia"	"no"	"no"
"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus tapajosensis"	2021	NA	"no"	"no"
"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus theodorusi"	2020	"Amazônia"	"no"	"no"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Amapasaurus tetradactylus"	1970	"Amazônia"	"no"	"no"
"Squamata"	"Sauria"	"Teiidae"	"Ameiva ameiva"	1758	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal"	"yes"	"no"
"Squamata"	"Sauria"	"Teiidae"	"Ameiva jacuba"	2013	"Cerrado"	"yes"	"yes"
