"order"	"suborder"	"family"	"genus"	"species"	"year"	"author"
"Testudines"	NA	"Chelidae"	"Acanthochelys"	"Acanthochelys macrocephala"	"1984"	"(RHODIN, MITTERMEIER & MCMORRIS, 1984)"
"Testudines"	NA	"Chelidae"	"Acanthochelys"	"Acanthochelys radiolata"	"1820"	"(MIKAN, 1820)"
"Testudines"	NA	"Chelidae"	"Acanthochelys"	"Acanthochelys spixii"	"1835"	"(DUMÉRIL & BIBRON, 1835)"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Acratosaura"	"Acratosaura mentalis"	"1933"	"(AMARAL, 1933)"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Acratosaura"	"Acratosaura spinosa"	"2009"	"RODRIGUES, CASSIMIRO, DE FREITAS & SANTOS SILVA, 2009"
"Squamata"	"Serpentes"	"Colubridae"	"Adelphostigma"	"Adelphostigma occipitalis"	"1863"	"(JAN, 1863)"
"Squamata"	"Serpentes"	"Colubridae"	"Adelphostigma"	"Adelphostigma quadriocellata"	"2008"	"(SANTOS, DI-BERNARDO & DE LEMA, 2008)"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Alexandresaurus"	"Alexandresaurus camacan"	"2007"	"RODRIGUES, PELLEGRINO, DIXO, VERDADE, PAVAN, ARGOLO & SITES, 2007"
"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus"	"Alopoglossus amazonius"	"1924"	"RUTHVEN, 1924"
"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus"	"Alopoglossus angulatus"	"1758"	"(LINNAEUS, 1758)"
"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus"	"Alopoglossus atriventris"	"1973"	"DUELLMAN, 1973"
"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus"	"Alopoglossus avilapiresae"	"2020"	"RIBEIRO-JÚNIOR, CHOUERI, LOBOS, VENEGAS, TORRES-CARVAJAL & WERNECK, 2020"
"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus"	"Alopoglossus brevifrontalis"	"1912"	"(BOULENGER, 1912)"
"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus"	"Alopoglossus buckleyi"	"1881"	"(O'SHAUGHNESSY, 1881)"
"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus"	"Alopoglossus collii"	"2020"	"RIBEIRO-JÚNIOR, CHOUERI, LOBOS, VENEGAS, TORRES-CARVAJAL & WERNECK, 2020"
"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus"	"Alopoglossus gansorum"	"2021"	"RIBEIRO-JÚNIOR, SÁNCHEZ-MARTÍNEZ, MORAES, COSTA DE OLIVEIRA, CARVALHO, CHOUERI, WERNECK & MEIRI, 2021"
