"family"	"genus"	"species"	"author"	"range"	"year"	"latitude"	"longitude"
"Alopoglossidae"	"Alopoglossus"	"Alopoglossus collii"	"Ribeiro-Junior et al., 2020"	"Restricted"	2020	-11.8626	-60.9383
"Teiidae"	"Ameiva"	"Ameiva jacuba"	"Giugliano et al., 2013"	"Restricted"	2013	-18.2189	-52.7714
"Teiidae"	"Ameiva"	"Ameiva parecis"	"(Colli et al., 2003)"	"Restricted"	2003	-12.5353	-60.4267
"Teiidae"	"Ameivula"	"Ameivula cipoensis"	"Arias et al., 2014a"	"Restricted"	2014	-19.29	-43.5486
"Teiidae"	"Ameivula"	"Ameivula jalapensis"	"(Colli et al., 2009)"	"Restricted"	2009	-10.3	-46.95
"Teiidae"	"Ameivula"	"Ameivula mumbuca"	"(Colli et al., 2003)"	"Restricted"	2003	-10.2628	-46.5655
"Teiidae"	"Ameivula"	"Ameivula xacriaba"	"Arias et al., 2014b "	"Restricted"	2014	-15.1547	-44.305
"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena absaberi"	"(Strüssmann & Carvalho, 2001)"	"Restricted"	2001	-16.1667	-57.2333
"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena acrobeles"	"(Ribeiro et al., 2009)"	"Restricted"	2009	-10.5946	-46.7707
"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena anaemariae"	"Vanzolini, 1997"	"Partial"	1997	-11.0333	-48.2167
"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena bedai"	"(Vanzolini, 1991)"	"Restricted"	1991	-20.7677	-55.6076
"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena brevis"	"Strüssmann & Mott, 2009"	"Restricted"	2009	-14.9557	-55.8662
"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena carli"	"Pinna et al., 2010"	"Restricted"	2010	-14.0167	-45.9
"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena crisae"	"Vanzolini, 1997"	"Partial"	1997	-11.8333	-50.3333
"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena cuiabana"	"(Strüssmann & Carvalho, 2001)"	"Restricted"	2001	-15.5961	-56.0967
"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena filiformis"	" Ribeiro et al., 2016"	"Restricted"	2016	-7.2458	-47.7675
"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena kraoh"	"(Vanzolini, 1971)"	"Restricted"	1971	-8.9675	-48.1747
"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena leeseri"	"Gans, 1964"	"Restricted"	1964	-19.2167	-57.55
"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena maranhensis"	"Gomes & Maciel, 2012"	"Restricted"	2012	-7.1525	-45.3039
"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena mebengokre"	"Ribeiro et al., 2019"	"Restricted"	2019	-16.4569	-51.3781
"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena neglecta"	"Dunn & Piatt, 1936"	"Restricted"	1936	-15.4529	-55.7392
"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena persephone"	"Pinna et al., 2014"	"Restricted"	2014	-13.8833	-45.7
"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena sanctaeritae"	"Vanzolini, 1994"	"Restricted"	1994	-21.7312	-47.4959
"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena saxosa"	"(Castro-Mello, 2003)"	"Restricted"	2003	-9.75	-48.35
"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena silvestrii"	"Boulenger, 1902"	"Partial"	1902	-15.5989	-56.0949
"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena steindachneri"	"Strauch, 1881"	"Restricted"	1881	-16.05	-57.3833
"Amphisbaenidae"	"Amphisbaena"	"Amphisbaena talisiae"	"Vanzolini, 1995"	"Partial"	1995	-15.8167	-52.1667
"Dactyloidae"	"Anolis"	"Anolis meridionalis"	"Boettger, 1885"	"Wide"	1885	-23.7167	-55.5
"Dipsadidae"	"Apostolepis"	"Apostolepis adhara"	"França et al., 2018"	"Restricted"	2018	-12.8053	-48.2199
"Dipsadidae"	"Apostolepis"	"Apostolepis albicollaris"	"Lema, 2002"	"Restricted"	2002	-15.8475	-47.9364
"Dipsadidae"	"Apostolepis"	"Apostolepis assimilis"	"(Reinhardt, 1861)"	"Partial"	1861	-19.9833	-43.45
"Dipsadidae"	"Apostolepis"	"Apostolepis christineae"	"Lema, 2002"	"Restricted"	2002	-15.654	-57.214
"Dipsadidae"	"Apostolepis"	"Apostolepis flavotorquata"	"(Duméril et al., 1854)"	"Partial"	1854	NA	NA
