"order"	"family"	"genus"	"species"	"biomes"
"Squamata"	"Gymnophthalmidae"	"Acratosaura"	"Acratosaura mentalis"	"Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Gymnophthalmidae"	"Acratosaura"	"Acratosaura spinosa"	"Caatinga"
"Squamata"	"Dipsadidae"	"Adelphostigma"	"Adelphostigma occipitalis"	"Amazon, Caatinga, Cerrado, Atlantic Forest, Pampa, Pantanal"
"Squamata"	"Dipsadidae"	"Adelphostigma"	"Adelphostigma quadriocellata"	"Amazon"
"Squamata"	"Gymnophthalmidae"	"Alexandresaurus"	"Alexandresaurus camacan"	"Atlantic Forest"
"Squamata"	"Alopoglossidae"	"Alopoglossus"	"Alopoglossus amazonius"	"Amazon"
"Squamata"	"Alopoglossidae"	"Alopoglossus"	"Alopoglossus angulatus"	"Amazon"
"Squamata"	"Alopoglossidae"	"Alopoglossus"	"Alopoglossus atriventris"	"Amazon"
"Squamata"	"Alopoglossidae"	"Alopoglossus"	"Alopoglossus avilapiresae"	"Amazon"
"Squamata"	"Alopoglossidae"	"Alopoglossus"	"Alopoglossus brevifrontalis"	"Amazon"
"Squamata"	"Alopoglossidae"	"Alopoglossus"	"Alopoglossus buckleyi"	"Amazon"
"Squamata"	"Alopoglossidae"	"Alopoglossus"	"Alopoglossus collii"	"Amazon"
"Squamata"	"Alopoglossidae"	"Alopoglossus"	"Alopoglossus meloi"	"Amazon"
"Squamata"	"Alopoglossidae"	"Alopoglossus"	"Alopoglossus theodorusi"	"Amazon"
"Squamata"	"Gymnophthalmidae"	"Amapasaurus"	"Amapasaurus tetradactylus"	"Amazon"
"Squamata"	"Teiidae"	"Ameiva"	"Ameiva ameiva"	"Amazon, Caatinga, Cerrado, Atlantic Forest, Pampa, Pantanal"
"Squamata"	"Teiidae"	"Ameiva"	"Ameiva jacuba"	"Cerrado"
"Squamata"	"Teiidae"	"Ameiva"	"Ameiva parecis"	"Amazon, Cerrado"
"Squamata"	"Teiidae"	"Ameivula"	"Ameivula cipoensis"	"Cerrado"
"Squamata"	"Teiidae"	"Ameivula"	"Ameivula confusioniba"	"Caatinga, Cerrado"
"Squamata"	"Teiidae"	"Ameivula"	"Ameivula jalapensis"	"Cerrado"
"Squamata"	"Teiidae"	"Ameivula"	"Ameivula mumbuca"	"Cerrado"
"Squamata"	"Teiidae"	"Ameivula"	"Ameivula nativo"	"Atlantic Forest"
"Squamata"	"Teiidae"	"Ameivula"	"Ameivula nigrigula"	"Caatinga, Cerrado"
"Squamata"	"Teiidae"	"Ameivula"	"Ameivula ocellifera"	"Amazon, Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Teiidae"	"Ameivula"	"Ameivula pyrrhogularis"	"Caatinga"
"Squamata"	"Teiidae"	"Ameivula"	"Ameivula xacriaba"	"Cerrado"
"Squamata"	"Typhlopidae"	"Amerotyphlops"	"Amerotyphlops amoipira"	"Amazon, Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Typhlopidae"	"Amerotyphlops"	"Amerotyphlops arenensis"	"Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Typhlopidae"	"Amerotyphlops"	"Amerotyphlops brongersmianus"	"Amazon, Caatinga, Cerrado, Atlantic Forest, Pampa, Pantanal, Coastal-Marine"
"Squamata"	"Typhlopidae"	"Amerotyphlops"	"Amerotyphlops minuisquamus"	"Amazon"
"Squamata"	"Typhlopidae"	"Amerotyphlops"	"Amerotyphlops paucisquamus"	"Amazon, Caatinga, Cerrado, Atlantic Forest"
"Squamata"	"Typhlopidae"	"Amerotyphlops"	"Amerotyphlops reticulatus"	"Amazon, Caatinga, Cerrado, Coastal-Marine"
"Squamata"	"Typhlopidae"	"Amerotyphlops"	"Amerotyphlops yonenagae"	"Caatinga"
"Squamata"	"Dipsadidae"	"Amnesteophis"	"Amnesteophis melanauchen"	""
