"order"	"family"	"species"	"biomes"	"cerrado_sp"
"Testudines"	"Chelidae"	"Acanthochelys macrocephala"	"Cerrado, Pantanal"	"yes"
"Testudines"	"Chelidae"	"Acanthochelys radiolata"	"Cerrado, Mata Atlântica"	"yes"
"Testudines"	"Chelidae"	"Acanthochelys spixii"	"Caatinga, Cerrado, Mata Atlântica, Pampa"	"yes"
"Squamata"	"Gymnophthalmidae"	"Acratosaura mentalis"	"Caatinga, Cerrado, Mata Atlântica"	"yes"
"Squamata"	"Gymnophthalmidae"	"Acratosaura spinosa"	"Caatinga"	"no"
"Squamata"	"Gymnophthalmidae"	"Alexandresaurus camacan"	"Mata Atlântica"	"no"
"Squamata"	"Alopoglossidae"	"Alopoglossus amazonius"	"Amazônia"	"no"
"Squamata"	"Alopoglossidae"	"Alopoglossus angulatus"	"Amazônia"	"no"
"Squamata"	"Alopoglossidae"	"Alopoglossus atriventris"	"Amazônia"	"no"
"Squamata"	"Alopoglossidae"	"Alopoglossus avilapiresae"	"Amazônia"	"no"
"Squamata"	"Alopoglossidae"	"Alopoglossus brevifrontalis"	"Amazônia"	"no"
"Squamata"	"Alopoglossidae"	"Alopoglossus buckleyi"	"Amazônia"	"no"
"Squamata"	"Alopoglossidae"	"Alopoglossus collii"	"Amazônia"	"no"
"Squamata"	"Alopoglossidae"	"Alopoglossus meloi"	"Amazônia"	"no"
"Squamata"	"Alopoglossidae"	"Alopoglossus theodorusi"	"Amazônia"	"no"
"Squamata"	"Gymnophthalmidae"	"Amapasaurus tetradactylus"	"Amazônia"	"no"
"Squamata"	"Teiidae"	"Ameiva ameiva"	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal"	"yes"
"Squamata"	"Teiidae"	"Ameiva jacuba"	"Cerrado"	"yes"
"Squamata"	"Teiidae"	"Ameiva parecis"	"Amazônia, Cerrado"	"yes"
"Squamata"	"Teiidae"	"Ameivula cipoensis"	"Cerrado"	"yes"
"Squamata"	"Teiidae"	"Ameivula confusioniba"	"Caatinga, Cerrado"	"yes"
"Squamata"	"Teiidae"	"Ameivula jalapensis"	"Cerrado"	"yes"
"Squamata"	"Teiidae"	"Ameivula mumbuca"	"Cerrado"	"yes"
"Squamata"	"Teiidae"	"Ameivula nativo"	"Mata Atlântica"	"no"
"Squamata"	"Teiidae"	"Ameivula nigrigula"	"Caatinga, Cerrado"	"yes"
"Squamata"	"Teiidae"	"Ameivula ocellifera"	"Amazônia, Caatinga, Cerrado, Mata Atlântica"	"yes"
"Squamata"	"Teiidae"	"Ameivula pyrrhogularis"	"Caatinga"	"no"
"Squamata"	"Teiidae"	"Ameivula xacriaba"	"Cerrado"	"yes"
"Squamata"	"Typhlopidae"	"Amerotyphlops amoipira"	"Amazônia, Caatinga, Cerrado, Mata Atlântica"	"yes"
"Squamata"	"Typhlopidae"	"Amerotyphlops arenensis"	"Caatinga, Cerrado, Mata Atlântica"	"yes"
"Squamata"	"Typhlopidae"	"Amerotyphlops brongersmianus"	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal, Sistema Costeiro-Marinho"	"yes"
"Squamata"	"Typhlopidae"	"Amerotyphlops minuisquamus"	"Amazônia"	"no"
"Squamata"	"Typhlopidae"	"Amerotyphlops paucisquamus"	"Amazônia, Caatinga, Cerrado, Mata Atlântica"	"yes"
"Squamata"	"Typhlopidae"	"Amerotyphlops reticulatus"	"Amazônia, Caatinga, Cerrado, Sistema Costeiro-Marinho"	"yes"
"Squamata"	"Typhlopidae"	"Amerotyphlops yonenagae"	"Caatinga"	"no"
"Squamata"	"Dipsadidae"	"Amnesteophis melanauchen"	""	"no"
"Squamata"	"Amphisbaenidae"	"Amphisbaena absaberi"	"Pantanal"	"no"
"Squamata"	"Amphisbaenidae"	"Amphisbaena acangaoba"	"Caatinga"	"no"
"Squamata"	"Amphisbaenidae"	"Amphisbaena acrobeles"	"Cerrado"	"yes"
"Squamata"	"Amphisbaenidae"	"Amphisbaena alba"	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal"	"yes"
"Squamata"	"Amphisbaenidae"	"Amphisbaena anaemariae"	"Cerrado, Mata Atlântica"	"yes"
"Squamata"	"Amphisbaenidae"	"Amphisbaena anomala"	"Amazônia, Caatinga, Cerrado"	"yes"
"Squamata"	"Amphisbaenidae"	"Amphisbaena arda"	"Cerrado"	"yes"
"Squamata"	"Amphisbaenidae"	"Amphisbaena arenaria"	"Caatinga"	"no"
"Squamata"	"Amphisbaenidae"	"Amphisbaena arenicola"	"Mata Atlântica"	"no"
"Squamata"	"Amphisbaenidae"	"Amphisbaena bahiana"	"Caatinga, Mata Atlântica"	"no"
"Squamata"	"Amphisbaenidae"	"Amphisbaena bedai"	"Cerrado"	"yes"
"Squamata"	"Amphisbaenidae"	"Amphisbaena bilabialata"	"Amazônia, Cerrado"	"yes"
"Squamata"	"Amphisbaenidae"	"Amphisbaena brasiliana"	"Amazônia, Cerrado"	"yes"
"Squamata"	"Amphisbaenidae"	"Amphisbaena brevis"	"Cerrado"	"yes"
"Squamata"	"Amphisbaenidae"	"Amphisbaena caetitensis"	"Caatinga"	"no"
"Squamata"	"Amphisbaenidae"	"Amphisbaena caiari"	"Amazônia"	"no"
"Squamata"	"Amphisbaenidae"	"Amphisbaena camura"	"Cerrado, Pantanal"	"yes"
"Squamata"	"Amphisbaenidae"	"Amphisbaena carli"	"Cerrado"	"yes"
"Squamata"	"Amphisbaenidae"	"Amphisbaena carvalhoi"	"Caatinga, Mata Atlântica"	"no"
"Squamata"	"Amphisbaenidae"	"Amphisbaena crisae"	"Cerrado"	"yes"
"Squamata"	"Amphisbaenidae"	"Amphisbaena cuiabana"	"Amazônia, Cerrado"	"yes"
"Squamata"	"Amphisbaenidae"	"Amphisbaena cunhai"	"Amazônia"	"no"
"Squamata"	"Amphisbaenidae"	"Amphisbaena darwinii"	"Cerrado, Mata Atlântica, Pampa"	"no"
"Squamata"	"Amphisbaenidae"	"Amphisbaena dubia"	"Mata Atlântica"	"no"
"Squamata"	"Amphisbaenidae"	"Amphisbaena filiformis"	"Cerrado"	"yes"
"Squamata"	"Amphisbaenidae"	"Amphisbaena frontalis"	"Amazonia, Caatinga, Cerrado"	"yes"
"Squamata"	"Amphisbaenidae"	"Amphisbaena fuliginosa"	"Amazônia, Caatinga, Cerrado, Mata Atlântica"	"yes"
"Squamata"	"Amphisbaenidae"	"Amphisbaena hastata"	"Caatinga, Cerrado"	"yes"
"Squamata"	"Amphisbaenidae"	"Amphisbaena heathi"	"Caatinga, Mata Atlântica"	"no"
"Squamata"	"Amphisbaenidae"	"Amphisbaena hiata"	"Pantanal"	"no"
"Squamata"	"Amphisbaenidae"	"Amphisbaena hogei"	"Cerrado, Mata Atlântica"	"yes"
"Squamata"	"Amphisbaenidae"	"Amphisbaena hoogmoedi"	"Amazônia"	"no"
"Squamata"	"Amphisbaenidae"	"Amphisbaena ignatiana"	"Caatinga, Mata Atlântica"	"no"
"Squamata"	"Amphisbaenidae"	"Amphisbaena kingii"	"Mata Atlântica, Pampa"	"no"
"Squamata"	"Amphisbaenidae"	"Amphisbaena kiriri"	"Caatinga"	"no"
"Squamata"	"Amphisbaenidae"	"Amphisbaena kraoh"	"Cerrado"	"yes"
"Squamata"	"Amphisbaenidae"	"Amphisbaena leeseri"	"Amazônia, Cerrado, Mata Atlântica, Pantanal"	"yes"
"Squamata"	"Amphisbaenidae"	"Amphisbaena leucocephala"	"Mata Atlântica"	"no"
"Squamata"	"Amphisbaenidae"	"Amphisbaena littoralis"	"Caatinga, Mata Atlântica"	"no"
"Squamata"	"Amphisbaenidae"	"Amphisbaena longinqua"	"Caatinga"	"no"
"Squamata"	"Amphisbaenidae"	"Amphisbaena maranhensis"	"Cerrado"	"yes"
"Squamata"	"Amphisbaenidae"	"Amphisbaena mebengokre"	"Cerrado"	"yes"
"Squamata"	"Amphisbaenidae"	"Amphisbaena mertensii"	"Cerrado, Mata Atlântica"	"yes"
"Squamata"	"Amphisbaenidae"	"Amphisbaena metallurga"	"Mata Atlântica"	"no"
"Squamata"	"Amphisbaenidae"	"Amphisbaena miringoera"	"Amazônia, Cerrado, Mata Atlântica"	"yes"
"Squamata"	"Amphisbaenidae"	"Amphisbaena mitchelli"	"Amazônia"	"no"
"Squamata"	"Amphisbaenidae"	"Amphisbaena mongoyo"	"Mata Atlântica"	"no"
"Squamata"	"Amphisbaenidae"	"Amphisbaena munoai"	"Pampa"	"no"
"Squamata"	"Amphisbaenidae"	"Amphisbaena nana"	"Mata Atlântica, Pampa"	"no"
"Squamata"	"Amphisbaenidae"	"Amphisbaena neglecta"	"Cerrado"	"yes"
"Squamata"	"Amphisbaenidae"	"Amphisbaena nigricauda"	"Mata Atlântica"	"no"
"Squamata"	"Amphisbaenidae"	"Amphisbaena persephone"	"Cerrado"	"yes"
"Squamata"	"Amphisbaenidae"	"Amphisbaena pretrei"	"Caatinga, Cerrado, Mata Atlântica"	"yes"
"Squamata"	"Amphisbaenidae"	"Amphisbaena prunicolor"	"Cerrado, Mata Atlântica, Pampa"	"yes"
"Squamata"	"Amphisbaenidae"	"Amphisbaena ridleyi"	"Mata Atlântica, Sistema Costeiro-Marinho"	"no"
"Squamata"	"Amphisbaenidae"	"Amphisbaena roberti"	"Caatinga, Cerrado, Mata Atlântica"	"yes"
"Squamata"	"Amphisbaenidae"	"Amphisbaena sanctaeritae"	"Cerrado"	"yes"
"Squamata"	"Amphisbaenidae"	"Amphisbaena saxosa"	"Cerrado"	"yes"
"Squamata"	"Amphisbaenidae"	"Amphisbaena silvestrii"	"Amazônia, Cerrado, Pantanal"	"yes"
"Squamata"	"Amphisbaenidae"	"Amphisbaena slevini"	"Amazônia"	"no"
"Squamata"	"Amphisbaenidae"	"Amphisbaena steindachneri"	"Amazônia, Cerrado, Pantanal"	"yes"
"Squamata"	"Amphisbaenidae"	"Amphisbaena supernumeraria"	"Caatinga, Mata Atlântica"	"no"
"Squamata"	"Amphisbaenidae"	"Amphisbaena talisiae"	"Cerrado"	"yes"
"Squamata"	"Amphisbaenidae"	"Amphisbaena tiaraju"	"Mata Atlântica"	"no"
"Squamata"	"Amphisbaenidae"	"Amphisbaena tragorrhectes"	"Amazônia"	"no"
"Squamata"	"Amphisbaenidae"	"Amphisbaena uroxena"	"Caatinga"	"no"
"Squamata"	"Amphisbaenidae"	"Amphisbaena vanzolinii"	"Amazônia"	"no"
"Squamata"	"Amphisbaenidae"	"Amphisbaena vermicularis"	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal"	"yes"
