"Species"	"Order"	"Suborder"	"Family"	"Genus"	"Description.author.s"	"Description.year"	"Subspecies"	"Main.biogeographic.region"	"Microhabitat"	"Habitat.type"	"Minimal.elevation..m."	"Maximum.elevation..m."	"Mean.Annual.Temperature...C."	"Temperature.Seasonality..standard.deviation.100."	"Seasonality.Precipitation..coefficient.of.variation...100."	"Insular.endemic..yes.or.no."	"Venomous..yes.or.no."	"Diet"	"Diet..comments"	"Active.time"	"Dorsal.colour"	"Dorsal.pattern"	"Foraging.mode"	"Pupil.Shape"	"Fangs"	"Maximum.Longevity..years."	"Maximum.body.mass..g."	"Maximum.total.length...TL...mm."	"Maximum.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm."	"Maximum.female.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm."	"Maximum.male.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm."	"Maximum.juvenile.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm."	"Hatchling.neonate.mass..g."	"Reproductive.mode"	"Sex.determining.mechanism..GSD.or.TSD."	"Mean.number.of.offspring.per.litter.or.number.of.eggs.per.clutch"	"Smallest.clutch.size"	"Largest.clutch.size"	"Number.of.litters.or.clutches.produced.per.year"	"Egg.length..mm."	"Egg.width..mm."	"Mean.Tb"	"Minimum.Tb"	"Maximum.Tb"	"Genetic.data..yes.or.not."	"IUCN.redlist.assessment"	"IUCN.population.trend"	"X"
"Acratosaura mentalis"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Acratosaura"	"Amaral"	1933	"No"	"Neotropic"	"Terrestrial"	"Forest/Savanna"	240	1120	NA	NA	34.24	"No"	"No"	NA	NA	"Diurnal"	NA	NA	"ACT"	NA	"non-fanged"	NA	4.7	NA	59	52.5	NA	NA	NA	"oviparous"	NA	1.6	1	2	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Acratosaura spinosa"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Acratosaura"	"Rodrigues, Cassimiro, De Freitas & Santos Silva"	2009	"No"	"Neotropic"	"Terrestrial"	"Savanna"	NA	NA	NA	NA	26.2	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	3.3	NA	53	53	NA	NA	NA	"oviparous"	NA	6.5	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Data Deficient"	"Unknown"	NA
"Adelphostigma occipitalis"	"Squamata"	"Serpentes"	"Colubridae"	"Adelphostigma"	"Jan"	1863	"No"	"Neotropic"	"Fossorial/Terrestrial"	"Forest"	NA	NA	NA	NA	0.3	"No"	NA	"Carnivorous"	"Invertebrates "	"Nocturnal"	"Brown"	"Blotched"	"ACT"	"round (or oval)"	"rear-fanged"	NA	40.5	660	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Stable"	NA
"Adelphostigma quadriocellata"	"Squamata"	"Serpentes"	"Colubridae"	"Adelphostigma"	"Santos, Di-Bernardo & De Lema"	2008	"No"	"Neotropic"	"Terrestrial"	NA	NA	NA	NA	NA	0.6	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"rear-fanged"	NA	37	550	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Alexandresaurus camacan"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Alexandresaurus"	"Rodrigues, Pellegrino, Dixo, Verdade, Pavan, Argolo & Sites"	2007	"No"	"Neotropic"	"Terrestrial"	"Forest"	770	900	NA	NA	20.77	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	8.1	NA	70	58	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Near Threatened"	"Unknown"	NA
"Alopoglossus amazonius"	"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus"	"Ruthven"	1924	"No"	"Neotropic"	"Terrestrial"	NA	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA
"Alopoglossus angulatus"	"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus"	"Linnaeus"	1758	"No"	"Neotropic"	"Terrestrial"	"Forest/Wetlands"	0	760	NA	NA	12.47	"No"	"No"	"Carnivorous"	"Arthropods"	"Diurnal"	NA	NA	"ACT"	NA	"non-fanged"	NA	6.2	NA	64	56.3	NA	21.3	NA	"oviparous"	NA	2	1	2	NA	NA	NA	26.2	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Alopoglossus atriventris"	"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus"	"Duellman"	1973	"No"	"Neotropic"	"Terrestrial"	"Forest"	0	1500	NA	NA	11.09	"No"	"No"	"Carnivorous"	"Arthropods"	"Diurnal"	NA	NA	"ACT"	NA	"non-fanged"	NA	3.7	NA	55	48	NA	22	NA	"oviparous"	NA	2	2	2	NA	NA	NA	26.2	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Alopoglossus avilapiresae"	"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus"	"Ribeiro-Júnior, Choueri, Lobos, Venegas, Torres-Carvajal & Werneck"	2020	"No"	"Neotropic"	"Terrestrial"	NA	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA
"Alopoglossus brevifrontalis"	"Squamata"	"Sauria"	"Alopoglossidae"	"Alopoglossus"	"Boulenger"	1912	"No"	"Neotropic"	"Terrestrial"	NA	200	1260	NA	NA	14.09	"No"	"No"	"Carnivorous"	"Arthropods"	"Diurnal"	NA	NA	"ACT"	NA	"non-fanged"	NA	7.4	NA	68	58.5	NA	29	NA	"oviparous"	NA	2	2	2	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
