family,genus,species,activity,limbs,reproduction,habitat,biomes,major_biome_gard,Seasonality.Precipitation..coefficient.of.variation...100.,cerrado_endemic,phylogeny,distribution
Gymnophthalmidae,Acratosaura,Acratosaura mentalis,Diurnal,4 well developed limbs,oviparous,Forest_Savanna,CA_CE_AF,Deserts & Xeric Shrublands,34.24,no,yes,yes
Gymnophthalmidae,Acratosaura,Acratosaura spinosa,NA,4 well developed limbs,oviparous,Savanna,CA,Deserts & Xeric Shrublands,26.2,no,yes,yes
Dipsadidae,Adelphostigma,Adelphostigma occipitalis,Nocturnal,limbless,oviparous,Forest,AM_CA_CE_AF_PP_PT,Tropical & Subtropical Moist Broadleaf Forests,0.3,no,yes,yes
Dipsadidae,Adelphostigma,Adelphostigma quadriocellata,NA,limbless,oviparous,NA,AM,Tropical & Subtropical Moist Broadleaf Forests,0.6,no,no,yes
Gymnophthalmidae,Alexandresaurus,Alexandresaurus camacan,NA,4 well developed limbs,oviparous,Forest,AF,Tropical & Subtropical Moist Broadleaf Forests,20.77,no,yes,yes
Alopoglossidae,Alopoglossus,Alopoglossus amazonius,NA,4 well developed limbs,NA,NA,AM,NA,NA,no,no,yes
Alopoglossidae,Alopoglossus,Alopoglossus angulatus,Diurnal,4 well developed limbs,oviparous,Forest_Wetlands,AM,Tropical & Subtropical Moist Broadleaf Forests,12.47,no,yes,yes
Alopoglossidae,Alopoglossus,Alopoglossus atriventris,Diurnal,4 well developed limbs,oviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,11.09,no,yes,yes
Alopoglossidae,Alopoglossus,Alopoglossus avilapiresae,NA,4 well developed limbs,NA,NA,AM,NA,NA,no,no,yes
Alopoglossidae,Alopoglossus,Alopoglossus brevifrontalis,Diurnal,4 well developed limbs,oviparous,NA,AM,Tropical & Subtropical Moist Broadleaf Forests,14.09,no,yes,yes
Alopoglossidae,Alopoglossus,Alopoglossus buckleyi,Diurnal,4 well developed limbs,oviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,13.05,no,yes,yes
Alopoglossidae,Alopoglossus,Alopoglossus collii,NA,4 well developed limbs,NA,NA,AM,NA,NA,yes,no,yes
Alopoglossidae,Alopoglossus,Alopoglossus meloi,NA,4 well developed limbs,oviparous,NA,AM,Tropical & Subtropical Moist Broadleaf Forests,13.15,no,no,yes
Alopoglossidae,Alopoglossus,Alopoglossus theodorusi,NA,4 well developed limbs,NA,NA,AM,NA,NA,no,no,yes
Gymnophthalmidae,Amapasaurus,Amapasaurus tetradactylus,Diurnal,4 well developed limbs,oviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,19.83,no,yes,yes
Teiidae,Ameiva,Ameiva ameiva,Diurnal,4 well developed limbs,oviparous,Forest_Savanna_Shrubland,AM_CA_CE_AF_PP_PT,Tropical & Subtropical Moist Broadleaf Forests,17.14,no,yes,yes
Teiidae,Ameiva,Ameiva jacuba,NA,4 well developed limbs,oviparous,NA,CE,"Tropical & Subtropical Grasslands, Savannas & Shrublands",12.98,yes,yes,yes
Teiidae,Ameiva,Ameiva parecis,Diurnal,4 well developed limbs,oviparous,Grassland,AM_CE,"Tropical & Subtropical Grasslands, Savannas & Shrublands",11.75,yes,yes,yes
Teiidae,Ameivula,Ameivula cipoensis,Diurnal,4 well developed limbs,oviparous,NA,CE,"Tropical & Subtropical Grasslands, Savannas & Shrublands",22.85,yes,no,yes
Teiidae,Ameivula,Ameivula confusioniba,Diurnal,4 well developed limbs,oviparous,Grassland_Savanna,CA_CE,Deserts & Xeric Shrublands,28.08,no,no,yes
Teiidae,Ameivula,Ameivula jalapensis,Diurnal,4 well developed limbs,oviparous,Savanna_Shrubland,CE,"Tropical & Subtropical Grasslands, Savannas & Shrublands",19.12,yes,no,yes
Teiidae,Ameivula,Ameivula mumbuca,Diurnal,4 well developed limbs,oviparous,Savanna,CE,"Tropical & Subtropical Grasslands, Savannas & Shrublands",18.6,yes,yes,yes
Teiidae,Ameivula,Ameivula nativo,NA,4 well developed limbs,oviparous,Shrubland,AF,Tropical & Subtropical Moist Broadleaf Forests,21.34,no,no,yes
Teiidae,Ameivula,Ameivula nigrigula,Diurnal,4 well developed limbs,oviparous,Grassland,CA_CE,Deserts & Xeric Shrublands,35.78,no,no,yes
Teiidae,Ameivula,Ameivula ocellifera,Diurnal,4 well developed limbs,oviparous,Savanna,AM_CA_CE_AF,Tropical & Subtropical Moist Broadleaf Forests,18.76,no,yes,yes
Teiidae,Ameivula,Ameivula pyrrhogularis,Diurnal,4 well developed limbs,oviparous,Savanna,CA,Deserts & Xeric Shrublands,38.92,no,no,yes
Teiidae,Ameivula,Ameivula xacriaba,NA,4 well developed limbs,oviparous,NA,CE,"Tropical & Subtropical Grasslands, Savannas & Shrublands",25.79,yes,no,yes
Typhlopidae,Amerotyphlops,Amerotyphlops amoipira,Nocturnal,limbless,oviparous,Forest,AM_CA_CE_AF,Deserts & Xeric Shrublands,NA,no,no,yes
Typhlopidae,Amerotyphlops,Amerotyphlops arenensis,Nocturnal,limbless,oviparous,Desert_Rocky,CA_CE_AF,Deserts & Xeric Shrublands,NA,no,no,yes
Typhlopidae,Amerotyphlops,Amerotyphlops brongersmianus,Nocturnal,limbless,oviparous,Forest_Savanna,AM_CA_CE_AF_PP_PT,Tropical & Subtropical Moist Broadleaf Forests,NA,no,yes,yes
Typhlopidae,Amerotyphlops,Amerotyphlops minuisquamus,Nocturnal,limbless,oviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,NA,no,no,yes
Typhlopidae,Amerotyphlops,Amerotyphlops paucisquamus,NA,limbless,oviparous,Forest,AM_CA_CE_AF,Tropical & Subtropical Moist Broadleaf Forests,NA,no,no,yes
Typhlopidae,Amerotyphlops,Amerotyphlops reticulatus,NA,limbless,oviparous,Forest_Grassland_Savanna_Shrubland,AM_CA_CE,Tropical & Subtropical Moist Broadleaf Forests,NA,no,yes,yes
Typhlopidae,Amerotyphlops,Amerotyphlops yonenagae,NA,limbless,oviparous,Forest,CA,Deserts & Xeric Shrublands,NA,no,no,yes
Dipsadidae,Amnesteophis,Amnesteophis melanauchen,NA,limbless,viviparous,NA,unknown,Tropical & Subtropical Moist Broadleaf Forests,NA,no,no,no
Dipsadidae,Amnisiophis ,Amnisiophis amoenus,NA,limbless,oviparous,NA,AF,Tropical & Subtropical Moist Broadleaf Forests,0.2,no,no,yes
Amphisbaenidae,Amphisbaena,Amphisbaena absaberi,NA,limbless,NA,Savanna,PT,"Tropical & Subtropical Grasslands, Savannas & Shrublands",NA,yes,no,yes
Amphisbaenidae,Amphisbaena,Amphisbaena acangaoba,NA,limbless,NA,NA,CA,NA,NA,no,no,yes
Amphisbaenidae,Amphisbaena,Amphisbaena acrobeles,NA,limbless,NA,Savanna,CE,"Tropical & Subtropical Grasslands, Savannas & Shrublands",NA,yes,no,yes
Amphisbaenidae,Amphisbaena,Amphisbaena alba,Cathemeral,limbless,oviparous,Forest_Grassland_Savanna_Shrubland,AM_CA_CE_AF_PT,Tropical & Subtropical Moist Broadleaf Forests,17.37,no,yes,yes
Amphisbaenidae,Amphisbaena,Amphisbaena anaemariae,NA,limbless,oviparous,Savanna,CE_AF,"Tropical & Subtropical Grasslands, Savannas & Shrublands",17.27,yes,yes,yes
Amphisbaenidae,Amphisbaena,Amphisbaena anomala,Diurnal,limbless,oviparous,Forest,AM_CA_CE,Tropical & Subtropical Moist Broadleaf Forests,38.92,no,yes,yes
Amphisbaenidae,Amphisbaena,Amphisbaena arda,NA,limbless,NA,Forest,CE,Tropical & Subtropical Dry Broadleaf Forests,NA,no,no,yes
Amphisbaenidae,Amphisbaena,Amphisbaena arenaria,NA,limbless,NA,Shrubland,CA,Deserts & Xeric Shrublands,NA,no,yes,yes
Amphisbaenidae,Amphisbaena,Amphisbaena arenicola,NA,limbless,NA,NA,AF,NA,NA,no,no,yes
Amphisbaenidae,Amphisbaena,Amphisbaena bahiana,NA,limbless,NA,Forest,CA_AF,Deserts & Xeric Shrublands,NA,no,yes,yes
Amphisbaenidae,Amphisbaena,Amphisbaena bedai,NA,limbless,NA,Savanna,CE,"Tropical & Subtropical Grasslands, Savannas & Shrublands",NA,yes,yes,yes
Amphisbaenidae,Amphisbaena,Amphisbaena bilabialata,NA,limbless,NA,Forest,AM_CE,Tropical & Subtropical Moist Broadleaf Forests,NA,no,yes,yes
Amphisbaenidae,Amphisbaena,Amphisbaena brasiliana,NA,limbless,oviparous,Forest,AM_CE,Tropical & Subtropical Moist Broadleaf Forests,12.55,no,yes,yes
Amphisbaenidae,Amphisbaena,Amphisbaena brevis,NA,limbless,NA,Savanna,CE,"Tropical & Subtropical Grasslands, Savannas & Shrublands",NA,yes,no,yes
Amphisbaenidae,Amphisbaena,Amphisbaena caetitensis,NA,limbless,NA,NA,CA,Tropical & Subtropical Dry Broadleaf Forests,NA,no,yes,yes
Amphisbaenidae,Amphisbaena,Amphisbaena caiari,NA,limbless,oviparous,Forest_Savanna,AM,Tropical & Subtropical Moist Broadleaf Forests,9.8,no,yes,yes
Amphisbaenidae,Amphisbaena,Amphisbaena camura,Nocturnal,limbless,oviparous,Forest_Savanna,CE_PT,"Tropical & Subtropical Grasslands, Savannas & Shrublands",20.34,no,yes,yes
Amphisbaenidae,Amphisbaena,Amphisbaena carli,NA,limbless,NA,Savanna,CE,"Tropical & Subtropical Grasslands, Savannas & Shrublands",NA,yes,yes,yes
Amphisbaenidae,Amphisbaena,Amphisbaena carvalhoi,NA,limbless,NA,Savanna_Shrubland,CA_AF,Deserts & Xeric Shrublands,NA,no,no,yes
Amphisbaenidae,Amphisbaena,Amphisbaena crisae,NA,limbless,NA,Savanna,CE,Tropical & Subtropical Moist Broadleaf Forests,NA,yes,yes,yes
Amphisbaenidae,Amphisbaena,Amphisbaena cuiabana,NA,limbless,oviparous,Savanna,AM_CE,Tropical & Subtropical Dry Broadleaf Forests,14.11,yes,yes,yes
Amphisbaenidae,Amphisbaena,Amphisbaena cunhai,NA,limbless,oviparous,Forest_Grassland,AM,Tropical & Subtropical Moist Broadleaf Forests,9.95,no,yes,yes
Amphisbaenidae,Amphisbaena,Amphisbaena darwinii,NA,limbless,oviparous,NA,CE_AF_PP,"Tropical & Subtropical Grasslands, Savannas & Shrublands",21.7,no,yes,yes
Amphisbaenidae,Amphisbaena,Amphisbaena dubia,Nocturnal,limbless,oviparous,Forest,AF,Tropical & Subtropical Moist Broadleaf Forests,17.88,no,no,yes
