species,voucher,obs,locality,municipatily,state,latitude,longitude
Copeoglossum oreades,MNRJ 18610,,Fazenda Jatoba,Correntinha,Bahia,-14.066667,-45.433333
Copeoglossum oreades,MNRJ 18787,,Fazenda Jatoba,Correntinha,Bahia,-14.066667,-45.433333
Copeoglossum oreades,MNRJ 18788,,Fazenda Jatoba,Correntinha,Bahia,-14.066667,-45.433333
Copeoglossum oreades,MNRJ 18789,,Fazenda Jatoba,Correntinha,Bahia,-14.066667,-45.433333
Copeoglossum oreades,MNRJ 18790,,Fazenda Jatoba,Correntinha,Bahia,-14.066667,-45.433333
Copeoglossum oreades,MNRJ 18791,,Fazenda Jatoba,Correntinha,Bahia,-14.066667,-45.433333
Copeoglossum oreades,MNRJ 18792,,Fazenda Jatoba,Correntinha,Bahia,-14.066667,-45.433333
Copeoglossum oreades,MNRJ 18793,,Fazenda Jatoba,Correntinha,Bahia,-14.066667,-45.433333
Copeoglossum oreades,MNRJ 18794,,Fazenda Jatoba,Correntinha,Bahia,-14.066667,-45.433333
Copeoglossum oreades,MNRJ 18795,,Fazenda Jatoba,Correntinha,Bahia,-14.066667,-45.433333
Copeoglossum oreades,MNRJ 18796,,Fazenda Jatoba,Correntinha,Bahia,-14.066667,-45.433333
Copeoglossum oreades,MNRJ 18797,,Fazenda Jatoba,Correntinha,Bahia,-14.066667,-45.433333
Copeoglossum oreades,MNRJ 18798,,Fazenda Jatoba,Correntinha,Bahia,-14.066667,-45.433333
Copeoglossum oreades,MNRJ 18799,,Fazenda Jatoba,Correntinha,Bahia,-14.066667,-45.433333
Copeoglossum oreades,MNRJ 18800,,Fazenda Jatoba,Correntinha,Bahia,-14.066667,-45.433333
Copeoglossum oreades,MNRJ 18801,,Fazenda Jatoba,Correntinha,Bahia,-14.066667,-45.433333
Copeoglossum oreades,MNRJ 19286,,,Jaorandi,Bahia,-13.616667,-44.416667
Copeoglossum oreades,MNRJ 12699,,,Aragarcas,Goias,-15.883333,-52.25
Copeoglossum oreades,MNRJ 12698,,,Caldas Novas,Goias,-17.733333,-48.616667
Copeoglossum oreades,MNRJ 5111,,Serra da Mesa,Minacu,Goias,-13.834167,-48.304444
Copeoglossum oreades,MNRJ 5112,,Serra da Mesa,Minacu,Goias,-13.834168,-48.304445
Copeoglossum oreades,MNRJ 5113,,Serra da Mesa,Minacu,Goias,-13.834169,-48.304446
Copeoglossum oreades,MNRJ 5114,,Serra da Mesa,Minacu,Goias,-13.83417,-48.304447
Copeoglossum oreades,MNRJ 5115,,Serra da Mesa,Minacu,Goias,-13.834171,-48.304448
Copeoglossum oreades,MNRJ 5116,,Serra da Mesa,Minacu,Goias,-13.834172,-48.304449
Copeoglossum oreades,MNRJ 5117,,Serra da Mesa,Minacu,Goias,-13.834173,-48.30445
Copeoglossum oreades,MNRJ 5118,,Serra da Mesa,Minacu,Goias,-13.834174,-48.304451
Copeoglossum oreades,MNRJ 5119,,Serra da Mesa,Minacu,Goias,-13.834175,-48.304452
Copeoglossum oreades,MNRJ 5120,,Serra da Mesa,Minacu,Goias,-13.834176,-48.304453
Copeoglossum oreades,MNRJ 5121,,Serra da Mesa,Minacu,Goias,-13.834177,-48.304454
Copeoglossum oreades,MNRJ 5122,,Serra da Mesa,Minacu,Goias,-13.834178,-48.304455
Copeoglossum oreades,MNRJ 5123,,Serra da Mesa,Minacu,Goias,-13.834179,-48.304456
Copeoglossum oreades,MNRJ 5124,,Serra da Mesa,Minacu,Goias,-13.83418,-48.304457
Copeoglossum oreades,MNRJ 5125,,Serra da Mesa,Minacu,Goias,-13.834181,-48.304458
Copeoglossum oreades,MNRJ 5126,,Serra da Mesa,Minacu,Goias,-13.834182,-48.304459
Copeoglossum oreades,MNRJ 5127,,Serra da Mesa,Minacu,Goias,-13.834183,-48.30446
Copeoglossum oreades,MNRJ 5128,,Serra da Mesa,Minacu,Goias,-13.834184,-48.304461
Copeoglossum oreades,MNRJ 5129,,Serra da Mesa,Minacu,Goias,-13.834185,-48.304462
Copeoglossum oreades,MNRJ 5130,,Serra da Mesa,Minacu,Goias,-13.834186,-48.304463
Copeoglossum oreades,MNRJ 5131,,Serra da Mesa,Minacu,Goias,-13.834187,-48.304464
Copeoglossum oreades,MNRJ 5132,,Serra da Mesa,Minacu,Goias,-13.834188,-48.304465
Copeoglossum oreades,MNRJ 5133,,Serra da Mesa,Minacu,Goias,-13.834189,-48.304466
Copeoglossum oreades,MNRJ 5134,,Serra da Mesa,Minacu,Goias,-13.83419,-48.304467
Copeoglossum oreades,MNRJ 5135,,Serra da Mesa,Minacu,Goias,-13.834191,-48.304468
Copeoglossum oreades,MNRJ 5910,,Serra da Mesa,Minacu,Goias,-13.834167,-48.304444
Copeoglossum oreades,MNRJ 5911,,Serra da Mesa,Minacu,Goias,-13.834167,-48.304444
Copeoglossum oreades,MNRJ 5912,,Serra da Mesa,Minacu,Goias,-13.834167,-48.304444
Copeoglossum oreades,MNRJ 5913,,Serra da Mesa,Minacu,Goias,-13.834167,-48.304444
Copeoglossum oreades,MNRJ 5914,,Serra da Mesa,Minacu,Goias,-13.834167,-48.304444
Copeoglossum oreades,MNRJ 5915,,Serra da Mesa,Minacu,Goias,-13.834167,-48.304444
Copeoglossum oreades,MNRJ 5916,,Serra da Mesa,Minacu,Goias,-13.834167,-48.304444
Copeoglossum oreades,MNRJ 5917,,Serra da Mesa,Minacu,Goias,-13.834167,-48.304444
Copeoglossum oreades,MNRJ 5918,,Serra da Mesa,Minacu,Goias,-13.834167,-48.304444
Copeoglossum oreades,MNRJ 5919,,Serra da Mesa,Minacu,Goias,-13.834167,-48.304444
Copeoglossum oreades,MNRJ 5920,,Serra da Mesa,Minacu,Goias,-13.834167,-48.304444
