"reino","filo","classe","ordem","familia","genero","especie","subespecie","autor","latitude","longitude","datum","formato_original","precisao_da_coordenada","referencia_aproximacao","metodologia_aproximacao","descricao_do_metodo_aproximacao","taxon_citado","presenca_atual","tipo_registro","dia","mes","ano","hora","dia_fim","mes_fim","ano_fim","endemica_brasil","data_e_ano_desconhecidos","localidade","caracteristica_da_localidade","uc_federais","uc_nao_federais","rppn","pais","estado","municipio","ambiente","habitat","elevacao_minima","elevacao_maxima","profundidade_minima","profundidade_maxima","identificador","data_identificacao","identificacao_incerta","tombamento","instituicao_tombamento","compilador","data_compilacao","revisor","data_revisao","validador","data_validacao","autor_registro","referencia_bibliografica","base_dados","id_origem","observacao"
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura quadrilineata","","(Boettger, 1876)","-23.5333","-46.7333","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Sim","","","","","","","Brasil","Sao Paulo","Sao Paulo","","","","","","","","","","","","","","","","","","(Boettger, 1876)","Doan, T.M. (2003) A new phylogenetic classification for the gymnophthalmid genera Cercosaura, Pantodactylus and Prinodactylus (Reptilia: Squamata). Zoological Journal of the Linnean Society. 137, 101-115.","SALVE","1977","base de dados ciclo 1, GC"
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura quadrilineata","","(Boettger, 1876)","-22.9","-43.3","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Sim","","","","","","","Brasil","Rio de Janeiro","Rio de Janeiro","","","","","","","","","","","","","","","","","","(Boettger, 1876)","Doan, T.M. (2003) A new phylogenetic classification for the gymnophthalmid genera Cercosaura, Pantodactylus and Prinodactylus (Reptilia: Squamata). Zoological Journal of the Linnean Society. 137, 101-115.","SALVE","1972","base de dados ciclo 1, GC"
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura quadrilineata","","(Boettger, 1876)","-22.8218999999999","-47.2669","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Sim","","","","","","","Brasil","Sao Paulo","Sumare","","","","","","","","","","","","","","","","","","(Boettger, 1876)","Marques, O.A.V., Pereira, D.N., Barbo, F.E., Germano, J.V. & Sawaya, R.J. (2009) Os repteis do municipio de Sao Paulo: diversidade e ecologia da fauna preterita e atual. Biota Neotropica. 9 (2), 139-150.","SALVE","1973","base de dados ciclo 1, GC"
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura quadrilineata","","(Boettger, 1876)","-23.555","-46.729722","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Sim","","","","","","","Brasil","Sao Paulo","Sao Paulo","","","","","","","","","","","","","","","","","","(Boettger, 1876)","Marques, O.A.V., Pereira, D.N., Barbo, F.E., Germano, J.V. & Sawaya, R.J. (2009) Os repteis do municipio de Sao Paulo: diversidade e ecologia da fauna preterita e atual. Biota Neotropica. 9 (2), 139-150.","SALVE","1975","base de dados ciclo 1, GC"
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura quadrilineata","","(Boettger, 1876)","-23.5622219999999","-46.7274999999999","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Sim","","","","","","","Brasil","Sao Paulo","Sao Paulo","","","","","","","","","","","","","","","","","","(Boettger, 1876)","Marques, O.A.V., Pereira, D.N., Barbo, F.E., Germano, J.V. & Sawaya, R.J. (2009) Os repteis do municipio de Sao Paulo: diversidade e ecologia da fauna preterita e atual. Biota Neotropica. 9 (2), 139-150.","SALVE","1976","base de dados ciclo 1, GC"
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura quadrilineata","","(Boettger, 1876)","-20.3692689999999","-43.429043","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Sim","","","","","","","Brasil","Minas Gerais","Mariana","","","","","","","","","","","","","","","","","","(Boettger, 1876)","Vanzolini, P.E. (1948) Sobre um novo Pantodactylus do Estado de Minas Gerais (Sauria, Teiidae). Papeis Avulsos do Departamento de Zoologia, Secretaria da Agricultura, Sao Paulo. 8 (27), 337-340.","SALVE","1970","base de dados ciclo 1, GC"
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura quadrilineata","","(Boettger, 1876)","-20.095086","-43.695257","","","","","","","","","","","","","","","","","Sim","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ICMBIO/Sisbio","1155934",""
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura schreibersii","","Wiegmann, 1834","-15.874402","-47.901817","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Nao","","","","","APA DA BACIA DOS RIBEIROES DO GAMA E CABECA DE VEADO","","Brasil","Distrito Federal","Brasilia","","","","","","","","","","","CHUNB, Colecao Herpetologica da Universidade de Brasilia","","","","","","","Wiegmann, 1834","","SALVE","551","Base de dados ciclo 1, GC"
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura schreibersii","","Wiegmann, 1834","-14.16222","-47.5233199999999","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Nao","","","","","AREA DE PROTECAO AMBIENTAL POUSO ALTO","","Brasil","Goias","Alto Paraiso de Goias","","","","","","","","","","","CHUNB, Colecao Herpetologica da Universidade de Brasilia","","","","","","","Wiegmann, 1834","","SALVE","559","Base de dados ciclo 1, GC"
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura schreibersii","","Wiegmann, 1834","-17.926479","-47.664692","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Nao","","","","","","","Brasil","Goias","Catalao","","","","","","","","","","","CHUNB, Colecao Herpetologica da Universidade de Brasilia","","","","","","","Wiegmann, 1834","","SALVE","560","Base de dados ciclo 1, GC"
