"id","name","tpNum","country","state","county","locality","latitude","longitude","literature","museum","comment","iverson","type","especie_buscada"
"78189","Ranacephala hogei","225-1","Brazil","","","Rio Pequena, SW of Sao Paulo","-23.78000","-46.57000","Mertens 1967, Pritchard 1979","SMF 62530","","B","O","Mesoclemmys.hogei"
"78195","Ranacephala hogei","225-4","Brazil","","","Espirito Santo State, Rio Itapemirim drainage","-21.02000","-40.80000","Rhodin et al. 1982"," ","","F","O","Mesoclemmys.hogei"
"78196","Ranacephala hogei","225-5","Brazil","","","Campos area, Rio Paraiba drainage, Rio de Janeiro State","-21.77000","-41.35000","Mittermeier et al. 1980, Rhodin et al. 1982","MZUSP 96, 1051","","A","O","Mesoclemmys.hogei"
"78197","Ranacephala hogei","225-6","Brazil","","","Entre Rios (","-22.10000","-43.25000","Rhodin et al. 1982","MZUSP 47, 3132","","D","O","Mesoclemmys.hogei"
"78198","Ranacephala hogei","225-7","Brazil","","","Fazenda Feliz Remanso, Pinheiral, (2231/4359) Rio Paraiba, Rio de Janeiro State","-22.52000","-43.98000","Rhodin et al. 1982","MZUSP 2683","","E","O","Mesoclemmys.hogei"
"310","Acanthochelys macrocephala","","Paraguay","Boquerón","","Paraguayan Chaco","-22.50083","-59.74167","Cacciali et al. 2016","SMNS 3984/5","Iverson 1992, in Cacciali et al. 2016; CHECK. Looks good.","AmacrocephalaA.pdf 8","L","Acanthochelys.macrocephala"
"311","Acanthochelys macrocephala","","Paraguay","Chaco","","Chaco region","-21.59400","-59.89570","Métrailler 2003","","Rhodin, Mittermeier and McMorris 1984, in Métrailler 2003; Duplicate scans. CHECK. I get that the longitude is -59.8957","AmacrocephalaA.pdf 30, AmacrocephalaB.pdf 1","L","Acanthochelys.macrocephala"
"312","Acanthochelys macrocephala","","Brazil","Mato Grosso Do Sul","","Corumbá, Nhumirim Farm","-18.95000","-56.62000","Kinas, Mauro and Souza 2005","ZUFMS-CHEL: 0001-0007","Duplicate scans on pp. 27 and 29","AmacrocephalaA.pdf 27, 29","L","Acanthochelys.macrocephala"
"313","Acanthochelys macrocephala","","Brazil","Mato Grosso Do Sul","","Aquidauana, Rio Negro Farm","-19.57000","-56.23000","Kinas, Mauro and Souza 2005","ZUFMS-CHEL: 0001-0007","Duplicate scans on pp. 27 and 29","AmacrocephalaA.pdf 27, 29","L","Acanthochelys.macrocephala"
"316","Acanthochelys macrocephala","","Paraguay","Alto Paraguay","","Puerto Casado, Paraguay between the Gran Chaco and Pantanal","-22.29000","-57.95000","Cabrera 1995","","Rhodin, Mittermeier and McMorris 1984, in Cabrera 1995","AmacrocephalaB.pdf 8","L","Acanthochelys.macrocephala"
"321","Acanthochelys macrocephala","","Brazil","Mato Gosso do Sul","","Nhecolândia, Corumbá","-19.04540","-57.14400","Souza et al. 2019","","Molina 2009, in Souza et al. 2019","AmacrocephalaB.pdf 10","L","Acanthochelys.macrocephala"
"322","Acanthochelys macrocephala","","Brazil","Mato Gosso do Sul","","Nhecolândia, Corumbá","-19.42630","-56.60550","Souza et al. 2019","","Molina 2009, in Souza et al. 2019","AmacrocephalaB.pdf 10","L","Acanthochelys.macrocephala"
"323","Acanthochelys macrocephala","","Brazil","Mato Grosso do Sul","","Taunay, Aquidauana","-19.83280","-56.26670","Souza et al. 2019","","Molina 2009, in Souza et al. 2019","AmacrocephalaB.pdf 10","L","Acanthochelys.macrocephala"
"324","Acanthochelys macrocephala","","Brazil","Mato Grosso do Sul","","Porto Murtinho","-21.68660","-57.71860","Souza et al. 2019","","Souza et al. 2010, in Souza et al. 2019","AmacrocephalaB.pdf 10","L","Acanthochelys.macrocephala"
"325","Acanthochelys macrocephala","","Brazil","Mato Grosso","","Cáceres","-16.57590","-57.73190","Souza et al. 2019","","Rhodin et al. 2009, in Souza et al. 2019","AmacrocephalaB.pdf 10","L","Acanthochelys.macrocephala"
"326","Acanthochelys macrocephala","","Brazil","Mato Grosso","","Poconé","-17.33810","-56.79940","Souza et al. 2019","","Rhodin et al. 2009, in Souza et al. 2019","AmacrocephalaB.pdf 10","L","Acanthochelys.macrocephala"
"327","Acanthochelys macrocephala","","Brazil","Mato Gosso do Sul","","Nhecolândia, Corumbá","-18.95410","-56.62450","Souza et al. 2019","","Rhodin et al. 2009, in Souza et al. 2019","AmacrocephalaB.pdf 10","L","Acanthochelys.macrocephala"
"328","Acanthochelys macrocephala","","Paraguay","Alto Paraguay","","Bahía Negra","-20.58760","-59.85480","Souza et al. 2019","","Rhodin et al. 2009, in Souza et al. 2019","AmacrocephalaB.pdf 10","L","Acanthochelys.macrocephala"
"329","Acanthochelys macrocephala","","Paraguay","Boquerón","","Filadelfia","-20.93760","-59.82140","Souza et al. 2019","","Rhodin et al. 2009, in Souza et al. 2019","AmacrocephalaB.pdf 10","L","Acanthochelys.macrocephala"
"330","Acanthochelys macrocephala","","Paraguay","Alto Paraguay","","Puerto Casado","-21.58760","-59.88810","Souza et al. 2019","","Rhodin et al. 2009, in Souza et al. 2019","AmacrocephalaB.pdf 10","L","Acanthochelys.macrocephala"
"331","Acanthochelys macrocephala","","Paraguay","Concepción","","","-22.24350","-57.91390","Souza et al. 2019","","Rhodin et al. 2009, in Souza et al. 2019","AmacrocephalaB.pdf 10","L","Acanthochelys.macrocephala"
"332","Acanthochelys macrocephala","","Paraguay","Boquerón","","Friedhof-Straße, Filadelfia","-22.34710","-60.04870","Souza et al. 2019","","Rhodin et al. 2009, in Souza et al. 2019","AmacrocephalaB.pdf 10","L","Acanthochelys.macrocephala"
"333","Acanthochelys macrocephala","","Paraguay","Boquerón","","Neuhof 4","-22.50100","-59.74170","Souza et al. 2019","","Rhodin et al. 2009, in Souza et al. 2019","AmacrocephalaB.pdf 10","L","Acanthochelys.macrocephala"
"334","Acanthochelys macrocephala","","Paraguay","Presidente Hayes","","Laguna Capitan, Teniente 1°, Manuel Irala Fernández","-22.53760","-59.67140","Souza et al. 2019","","Rhodin et al. 2009, in Souza et al. 2019","AmacrocephalaB.pdf 10","L","Acanthochelys.macrocephala"
"335","Acanthochelys macrocephala","","Paraguay","Presidente Hayes","","Teniente 1° Manuel Irala Fernández","-22.57590","-59.36100","Souza et al. 2019","","Rhodin et al. 2009, in Souza et al. 2019","AmacrocephalaB.pdf 10","L","Acanthochelys.macrocephala"
