species,voucher,obs,locality,municipatily,state,latitude,longitude
Iphisa surui,MZUSP 81634 ,paratype,,Apiacas,Mato Grosso,-9.569444444,-57.35111111
Iphisa surui,UFMT 7242,paratype,,Apiacas,Mato Grosso,-9.569444444,-57.35111111
Iphisa surui,UFMT 9399,paratype,,Apiacas,Mato Grosso,-9.569444444,-57.35111111
Iphisa surui,UFMT 6252 ,,,Araputanga,Mato Grosso,-15.25527778,-58.42472222
Iphisa surui,UFMT 6253 ,,,Araputanga,Mato Grosso,-15.37,-58.42472222
Iphisa surui,UFMT 6052,,,Araputanga,Mato Grosso,-15.39361111,-58.41527778
Iphisa surui,MZUSP 82654 ,,,Aripuana,Mato Grosso,-10.31666667,-59.45944444
Iphisa surui,MZUSP 82655,paratype,,Aripuana,Mato Grosso,-10.31666667,-59.45944444
Iphisa surui,MZUSP 82656,paratype,,Aripuana,Mato Grosso,-10.31666667,-59.45944444
Iphisa surui,MZUSP 82657,,,Aripuana,Mato Grosso,-10.31666667,-59.45944444
Iphisa surui,MZUSP 82659,,,Aripuana,Mato Grosso,-10.31666667,-59.45944444
Iphisa surui,MZUSP 82669 ,paratype,,Aripuana,Mato Grosso,-10.31666667,-59.45944444
Iphisa surui,MZUSP 90105,,,Aripuana,Mato Grosso,-10.31666667,-59.45944444
Iphisa surui,VOGT 2204,,Rio Madeira,Cachoeirinha ,Amazonas,-5.487777778,-68.80638889
Iphisa surui,RCV 2225,,Rio Madeira,Cachoeirinha ,Amazonas,-5.487777778,-68.80638889
Iphisa surui,UFMT 7804 ,,Estacao Ecologica do Rio Roosevelt,Colniza,Mato Grosso,-8.903111111,-60.82288889
Iphisa surui,UFMT 7842,,Estacao Ecologica do Rio Roosevelt,Colniza,Mato Grosso,-8.903111111,-60.82288889
Iphisa surui,UFMT 7843,paratype,Estacao Ecologica do Rio Roosevelt,Colniza,Mato Grosso,-8.903111111,-60.82288889
Iphisa surui,UFMT 7857 ,,Estacao Ecologica do Rio Roosevelt,Colniza,Mato Grosso,-8.903111111,-60.82288889
Iphisa surui,UFMT 7858 ,paratype,Estacao Ecologica do Rio Roosevelt,Colniza,Mato Grosso,-8.903111111,-60.82288889
Iphisa surui,RCV 2247,,,Itapinima,Amazonas,-5.410277778,-60.72111111
Iphisa surui,UFMT 2838,,,Jauru,Mato Grosso,-15.31722222,-58.86194444
Iphisa surui,UFMT 2840,,,Jauru,Mato Grosso,-15.31722222,-58.86194444
Iphisa surui,UFMT 2843,paratype,,Jauru,Mato Grosso,-15.31722222,-58.86194444
Iphisa surui,UFMT 2844,paratype,,Jauru,Mato Grosso,-15.31722222,-58.86194444
Iphisa surui,UNIBAN 1704,,,Monte Negro/Cacaulandia,Rondonia,-10.33138889,-63.09
Iphisa surui,UFMT 5959,paratype,,Nova Bandeirantes,Mato Grosso,-9.768888889,-58.07611111
Iphisa surui,UFMT 6787,paratype,,Nova Bandeirantes,Mato Grosso,-9.768888889,-58.07611111
Iphisa surui,UFMT 5962,paratype,,Nova Bandeirantes,Mato Grosso,-9.768888889,-58.07611111
Iphisa surui,UFMT 6762,paratype,,Nova Bandeirantes,Mato Grosso,-9.768888889,-58.07611111
Iphisa surui,UFMT 6789,paratype,,Nova Bandeirantes,Mato Grosso,-9.768888889,-58.07611111
Iphisa surui,MZUSP 91383,,Rio Aripuana (left margin),Santa Maria (Terra Preta),Amazonas,-5.797777778,-60.26527778
Iphisa surui,MZUSP 91385,,Rio Aripuana (left margin),Santa Maria (Terra Preta),Amazonas,-5.797777778,-60.26527778
Iphisa surui,MZUSP 91386,,Rio Aripuana (left margin),Santa Maria (Terra Preta),Amazonas,-5.797777778,-60.26527778
Iphisa surui,MZUSP 91384,,Rio Aripuana (left margin),Santa Maria (Terra Preta),Amazonas,-5.797777778,-60.26527778
Iphisa surui,MZUSP 91382,,Rio Aripuana (left margin),Santa Maria (Terra Preta),Amazonas,-5.797777778,-60.26527778
Iphisa surui,RGL 1782,,UHE Guapore,Vale de Sao Domingos,Mato Grosso,-15.11666667,-58.96666667
Iphisa surui,RGL 1781,,UHE Guapore,Vale de Sao Domingos,Mato Grosso,-15.11666667,-58.96666667
Iphisa surui,PUCRS 14062,paratype,UHE Guapore,Vale de Sao Domingos,Mato Grosso,-15.11666667,-58.96666667
Iphisa surui,PUCRS 14068,paratype,UHE Guapore,Vale de Sao Domingos,Mato Grosso,-15.11666667,-58.96666667
Iphisa surui,UFMT 867,paratype,UHE Guapore,Vale de Sao Domingos,Mato Grosso,-15.11666667,-58.96666667
Iphisa surui,UFMT 5296,,UHE Guapore,Vale de Sao Domingos,Mato Grosso,-15.11666667,-58.96666667
Iphisa surui,UFMT 5291,,UHE Guapore,Vale de Sao Domingos,Mato Grosso,-15.11666667,-58.96666667
Iphisa surui,UFMT 5289,,UHE Guapore,Vale de Sao Domingos,Mato Grosso,-15.11666667,-58.96666667
Iphisa surui,UFMT 10126,holotype,,Vilhena,Rondonia,-12.73777778,-60.17
Iphisa surui,CHUNB 11457,paratype,,Vilhena,Rondonia,-12.73777778,-60.17
Iphisa surui,CHUNB 11458,paratype,,Vilhena,Rondonia,-12.73777778,-60.17
Iphisa surui,CHUNB 11459,paratype,,Vilhena,Rondonia,-12.73777778,-60.17
