group,subgroup_tribe,family,species,endemic
LATERATA,Teiioidea,Gymnophthalmidae,Acratosaura mentalis,no
LATERATA,Teiioidea,Teiidae,Ameiva ameiva,no
LATERATA,Amphisbaenia,Amphisbaenidae,Amphisbaena alba,no
LATERATA,Amphisbaenia,Amphisbaenidae,Amphisbaena anaemariae,yes
LATERATA,Amphisbaenia,Amphisbaenidae,Amphisbaena camura,no
LATERATA,Amphisbaenia,Amphisbaenidae,Amphisbaena crisae,yes
LATERATA,Amphisbaenia,Amphisbaenidae,Amphisbaena dubia,no
LATERATA,Amphisbaenia,Amphisbaenidae,Amphisbaena leeseri,yes
LATERATA,Amphisbaenia,Amphisbaenidae,Amphisbaena mensae,yes
LATERATA,Amphisbaenia,Amphisbaenidae,Amphisbaena mertensi,no
LATERATA,Amphisbaenia,Amphisbaenidae,Amphisbaena miringoera,yes
LATERATA,Amphisbaenia,Amphisbaenidae,Amphisbaena neglecta,yes
LATERATA,Amphisbaenia,Amphisbaenidae,Amphisbaena prunicolor,no
LATERATA,Amphisbaenia,Amphisbaenidae,Amphisbaena sanctaeritae,yes
LATERATA,Amphisbaenia,Amphisbaenidae,Amphisbaena silvestrii,yes
LATERATA,Amphisbaenia,Amphisbaenidae,Amphisbaena talisiae,yes
LATERATA,Amphisbaenia,Amphisbaenidae,Amphisbaena vermicularis,no
LATERATA,Amphisbaenia,Amphisbaenidae,Amphisbaena wiedi,no
TOXICOFERA,Serpentes,Anguidae,Anilius scytale,no
TOXICOFERA,Iguania,Leiosauridae,Anisolepis grillii,no
TOXICOFERA,Iguania,Polychrotidae,Anolis chrysolepis,no
TOXICOFERA,Iguania,Polychrotidae,Anolis meridionalis,yes
LATERATA,Amphisbaenia,Amphisbaenidae,Anops acrobeles,yes
LATERATA,Amphisbaenia,Amphisbaenidae,Anops bilabialatus,no
TOXICOFERA,Serpentes,Dipsadidae,Apostolepis albicollaris,yes
TOXICOFERA,Serpentes,Dipsadidae,Apostolepis ammodites,yes
TOXICOFERA,Serpentes,Dipsadidae,Apostolepis assimilis,no
TOXICOFERA,Serpentes,Dipsadidae,Apostolepis cearensis,no
TOXICOFERA,Serpentes,Dipsadidae,Apostolepis cerradoensis,yes
TOXICOFERA,Serpentes,Dipsadidae,Apostolepis christineae,yes
TOXICOFERA,Serpentes,Dipsadidae,Apostolepis dimidiata,no
TOXICOFERA,Serpentes,Dipsadidae,Apostolepis flavotorquata,yes
TOXICOFERA,Serpentes,Dipsadidae,Apostolepis goiasensis,yes
TOXICOFERA,Serpentes,Dipsadidae,Apostolepis intermedia,yes
TOXICOFERA,Serpentes,Dipsadidae,Apostolepis lineata,yes
TOXICOFERA,Serpentes,Dipsadidae,Apostolepis longicaudata,yes
