"reino","filo","classe","ordem","familia","genero","especie","subespecie","nome_cientifico_anterior","autor","nome_comum","grupo","mesano_avaliacao","categoria","possivemente_extinta","criterio","justificativa","endemica_brasil","consta_em_lista_nacional_oficial","estado","regiao","bioma","bacia_hidrografica","unidade_de_conservacao_federal","unidade_de_conservacao_estadual","rppn","migratoria","tendencia_populacional","ameaca","uso","acao_conservacao","plano_de_acao","listas_e_convencoes","altitudeminmax","barimetriaminmax"
"Animalia","Chordata","Reptilia","Testudines","Chelidae","Acanthochelys","Acanthochelys macrocephala","","Acanthochelys macrocephala","(Rhodin, Mittermeier & McMorris, 1984)","Big-headed Pantanal Swamp Turtle, Pantanal-Plattschildkröte, Pantanal Swamp turtle, Tartaruga-do-pantanal, Tortuga del pantanal","Répteis","09/2024","Vulnerável","","A4c","Acanthochelys macrocephala ocorre na região central da América do Sul, principalmente na bacia do rio Paraguai, ao longo do bioma Pantanal e Chaco. Existem registros para o Brasil, Paraguai e Bolívia. No Brasil, é encontrada no bioma Pantanal a algumas áreas de transição com o Cerrado, nos estados do Mato Grosso e Mato Grosso do Sul. Trata-se de espécie comum, encontrada em trechos rasos de zonas alagáveis, lagoas, baías pantaneiras e riachos próximos às salinas. Apesar de ser uma espécie semiaquática, evidências sugerem que estiva nos períodos de seca, quando ficam mais suscetíveis aos incêndios florestais, que têm sido intensificados pelas mudanças climáticas globais. Cerca de 52% da área de distribuição da espécie estimada pelo modelo de distribuição de nicho ecológico (219.410 km²), sofreu com queimadas nos últimos 38 anos. A recorrência de incêndios é alta, sendo que 35% de toda sua distribuição queimou mais de dez vezes entre 1985 e 2023. O tempo geracional assumido para A. macrocephala é de 17,5 anos (três gerações totalizando 52,5 anos), considerando informação para uma espécie filogeneticamente próxima. Os dados sobre queimadas cobrem uma janela de 38 anos para o passado e, baseado na tendência dos últimos cinco anos, projeta-se que nos próximos 15 anos a área atingida deverá duplicar, chegando a 70% da área de ocorrência da espécie. Considerando a tolerância da espécie ao regime natural do fogo, suspeita-se que ocorra uma redução populacional acima de 30% no período de três gerações. Adicionalmente, ameaças como secas intensas, atividades pecuárias, projetos de hidrelétricas na Bacia do Alto Paraguai e a implementação da hidrovia Paraguai-Paraná agem sinergicamente, afetando a persistência da espécie. Este cenário é corroborado por estudo recente que prevê a inviabilidade da espécie até 2100. Por essas razões, Acanthochelys macrocephala foi avaliada como Vulnerável (VU) pelo critério A4c.","Não","Não","Mato Grosso, Mato Grosso do Sul","|Centro-Oeste|","Cerrado, Pantanal","Sub-bacia Paraguai 01
Sub-bacia Paraguai 02
Sub-bacia Paraguai 03","","PARQUE ESTADUAL DO PANTANAL DO RIO NEGRO","RPPN Estância Ecológica SESC - Pantanal, RPPN Fazenda Estância Dorochê, RPPN Fazendinha, RPPN Jubran","Não","Declinando","11 - Mudanças e extremos climáticos
11.1 - Mudança/alteração de habitat
11 - Mudanças e extremos climáticos
11.2 - Secas
2 - Agropecuária e Aquacultura
2.1 - Culturas anuais e perenes não-madeireiras
2.1.4 - Agricultura de escala desconhecida
2 - Agropecuária e Aquacultura
2.3 - Pecuária
2.3.4 - Pecuária em escala desconhecida
7 - Modificações nos sistemas naturais
7.1 - Incêndios e supressão de incêndios
7.1.1 - Aumento da frequência/intensidade de incêndios","16 - Outro","Expansão de áreas protegidas, Implementação de áreas protegidas","","","",""
"Animalia","Chordata","Reptilia","Testudines","Chelidae","Acanthochelys","Acanthochelys radiolata","","Acanthochelys radiolata","(Mikan, 1820)","Brazilian radiolated swamp turtle, Cágado-amarelo, Strahlen-Plattschildkröte, Tortuga de pantano brasileña","Répteis","09/2024","Menos Preocupante","","","Acanthochelys radiolata é endêmica do Brasil, ocorre no bioma Mata Atlântica, sendo facilmente encontrada em sua área de distribuição. Essa espécie está associada a brejos, restingas e lagoas de baixada. Há registros confirmados para os estados de Alagoas, Bahia, Espírito Santo, Minas Gerais e Rio de Janeiro. Nessa área, em algumas localidades, o ambiente encontra-se alterado em decorrência da expansão urbana, industrial e atividades agropecuária e minerária. Todavia, não há indícios de que estas ameaças possam afetar a espécie ao ponto de colocá-la em risco de extinção. Ocorre em várias unidades de conservação, inclusive de proteção integral. Assim, Acanthochelys radiolata foi avaliada como Menos Preocupante (LC).","Sim","Não","Alagoas, Bahia, Espírito Santo, Minas Gerais, Rio de Janeiro","|Nordeste|Sudeste|","Cerrado, Mata Atlântica","Sub-bacia Contas
Sub-bacia Doce
Sub-bacia Itapecuru-Paraguaçu
Sub-bacia Jequitinhonha
Sub-bacia Litoral AL PE PB
Sub-bacia Litoral BA ES
Sub-bacia Litoral ES
Sub-bacia Litoral RJ
Sub-bacia Paraíba do Sul
Sub-bacia São Francisco Baixo","APA de Guapi-Mirim, FLONA de Goytacazes, FLONA de Pacotuba, PARNA do Pau Brasil, REBIO de Pedra Talhada","ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE TODOS OS SANTOS, ÁREA DE PROTEÇÃO AMBIENTAL COSTA DE ITACARÉ/ SERRA GRANDE, ÁREA DE PROTEÇÃO AMBIENTAL DE MARICÁ, PARQUE ESTADUAL DA COSTA DO SOL, PARQUE ESTADUAL DA SERRA DO CONDURU, PARQUE ESTADUAL DO RIO DOCE","Estação Veracel, FAZENDA CARUARA","Não","Desconhecida","11 - Mudanças e extremos climáticos
11.1 - Mudança/alteração de habitat
11 - Mudanças e extremos climáticos
11.2 - Secas
11 - Mudanças e extremos climáticos
11.3 - Extremos térmicos
12 - Outras ameaças
1 - Desenvolvimento residencial e comercial
1.1 - Expansão urbana
1 - Desenvolvimento residencial e comercial
1.2 - Áreas comerciais e industriais
2 - Agropecuária e Aquacultura
2.1 - Culturas anuais e perenes não-madeireiras
2.1.2 - Agricultura em pequenas propriedades
3 - Produção energética e mineração
3.2 - Mineração
5 - Uso de recursos biológicos
5.3 - Extração florestal
5.3.5 - Motivação desconhecida
7 - Modificações nos sistemas naturais
7.1 - Incêndios e supressão de incêndios
7.1.1 - Aumento da frequência/intensidade de incêndios
7 - Modificações nos sistemas naturais
7.3 - Outras modificações nos ecossistemas
9 - Poluição
9.2 - Industrial
9.2.2 - Infiltraçao oriunda de mineração
9 - Poluição
9.2.3 - Contaminação por metais pesados","3 - Animais de estimação/ornamentais","","","","",""
"Animalia","Chordata","Reptilia","Testudines","Chelidae","Acanthochelys","Acanthochelys spixii","","Acanthochelys spixii","(Duméril & Bibron, 1835)","Black spine-neck swamp, Cágado-de-canaleta, Cágado-de-espinhos, Cágado-de-pescoço-espinhudo, Cágado-do-Cerrado, Cágado-preto, Spine-necked wamp turtle, Spix’s Sideneck Turtle, Stachelhals-Plattschildkröte, Tortuga de canaleta","Répteis","09/2024","Menos Preocupante","","","Acanthochelys spixii ocorre na América do Sul, sendo conhecida para o Brasil, Argentina e Uruguai. No Brasil, ocorre nos biomas Pampa, Mata Atlântica, Cerrado e Caatinga. Distribui-se nas regiões hidrográficas São Francisco, Paraná, Uruguai, Atlântico Sudeste e Atlântico Sul, com registros nos estados da região Sul, Bahia, Goiás, Minas Gerais, São Paulo e no Distrito Federal. Em algumas regiões, o ambiente encontra-se alterado em decorrência de expansão urbana, industrial e das atividades agropecuária e minerária. Com exceção do litoral sul do Brasil, o restante do hábitat da espécie encontra-se alterado, restando apenas 35% de formação vegetal natural. Apesar das ameaças enfrentadas, a redução do hábitat não atinge os limiares que a colocariam em risco de extinção. Ocorre em várias unidades de conservação. Por essas razões, Acanthochelys spixii foi avaliada como Menos Preocupante (LC).","Não","Não","Bahia, Distrito Federal, Goiás, Minas Gerais, Paraná, Rio Grande do Sul, Santa Catarina, São Paulo","|Centro-Oeste|Nordeste|Sudeste|Sul|","Caatinga, Cerrado, Mata Atlântica, Pampa","Sub-bacia Grande
Sub-bacia Guaíba
Sub-bacia Iguaçu
Sub-bacia Itapecuru-Paraguaçu
Sub-bacia Litoral RJ SP
Sub-bacia Litoral RS
Sub-bacia Litoral SP PR SC
Sub-bacia Paranaíba
Sub-bacia Paranapanema
Sub-bacia Paraná RH1
Sub-bacia São Francisco Alto
Sub-bacia São Francisco Médio
Sub-bacia Tietê
Sub-bacia Tocantins Alto
Sub-bacia Uruguai Alto","APA da Baleia Franca, APA do Planalto Central, APA Morro da Pedreira, PARNA da Serra da Canastra, PARNA de Brasília","APA DE CAFURINGA, ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO GRANDE, ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DA ESCARPA DEVONIANA, ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DO PIRAQUARA, ÁREA DE PROTEÇÃO AMBIENTAL MARIMBUS / IRAQUARA, PARQUE ESTADUAL DE ITAPEVA","RPPN Fazenda Retiro","Não","Desconhecida","11 - Mudanças e extremos climáticos
11.1 - Mudança/alteração de habitat
11 - Mudanças e extremos climáticos
11.2 - Secas
11 - Mudanças e extremos climáticos
11.3 - Extremos térmicos
11 - Mudanças e extremos climáticos
11.5 - Desertificação
2 - Agropecuária e Aquacultura
2.1 - Culturas anuais e perenes não-madeireiras
2.1.3 - Agricultura agro-industrial
2 - Agropecuária e Aquacultura
2.3 - Pecuária
2.3.4 - Pecuária em escala desconhecida
3 - Produção energética e mineração
3.2 - Mineração
3.2.6 - Tipo desconhecido
3 - Produção energética e mineração
3.3 - Energia renovável
3.3.1 - Hidrelétricas
7 - Modificações nos sistemas naturais
7.1 - Incêndios e supressão de incêndios
7.1.1 - Aumento da frequência/intensidade de incêndios
7 - Modificações nos sistemas naturais
7.2 - Represas e uso de água
7.2.4 - Captação de água de superfície - uso desconhecido
7 - Modificações nos sistemas naturais
7.2.7 - Captação de água subterrânea - uso na agricultura
9 - Poluição
9.1 - Doméstica e urbana - escoamento de água
9.1.2 - Escoamento urbano
9 - Poluição
9.2 - Industrial
9.2.3 - Contaminação por metais pesados
9 - Poluição
9.2.4 - Resíduos líquidos diversos","3 - Animais de estimação/ornamentais","","","","",""
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Acratosaura","Acratosaura mentalis","","Acratosaura mentalis","(Amaral, 1933)","","Répteis","10/2020","Menos Preocupante","","","Acratosaura mentalis é endêmica do Brasil, amplamente distribuída no Nordeste, predominantemente na Caatinga, e na Serra do Espinhaço em Minas Gerais. Boa parte da vegetação natural ao longo da distribuição da espécie já foi convertida em áreas para atividades agropecuárias. Incêndios recorrentes também podem ser ameaça. No entanto, a distribuição da espécie é ampla e não há indícios de declínios populacionais severos. Assim, as ameaças não devem colocá-la em risco de extinção em curto prazo. Portanto, A. mentalis foi avaliada como Menos Preocupante (LC).","Sim","Não","Alagoas, Bahia, Ceará, Minas Gerais, Paraíba, Pernambuco, Piauí, Rio Grande do Norte, Sergipe","|Nordeste|Sudeste|","Caatinga, Cerrado, Mata Atlântica","Sub-bacia Contas
Sub-bacia Itapecuru-Paraguaçu
Sub-bacia Jaguaribe
Sub-bacia Jequitinhonha
Sub-bacia Litoral AL PE PB
Sub-bacia Litoral CE PB
Sub-bacia Litoral SE
Sub-bacia Paraíba
Sub-bacia Parnaíba Alto
Sub-bacia Piranhas
Sub-bacia São Francisco Alto
Sub-bacia São Francisco Baixo
Sub-bacia São Francisco Médio
Sub-bacia São Francisco Submédio","APA do Morro da Pedreira, ESEC Raso da Catarina, FLONA Contendas do Sincorá, PARNA da Chapada Diamantina, PARNA da Serra da Capivara, PARNA da Serra das Confusões, PARNA do Boqueirao da Onça, PARNA do Catimbau, REBIO da Mata Escura","ÁREA DE PROTEÇÃO AMBIENTAL DE MURICÍ, ÁREA DE PROTEÇÃO AMBIENTAL DO CATOLÉ E FERNÃO VELHO, ÁREA DE PROTEÇÃO AMBIENTAL LAGOA DE ITAPARICA, ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE SOBRADINHO, PARQUE ESTADUAL DE DOIS IRMÃOS","RPPN Fazenda Almas","","Desconhecida","2 - Agropecuária e Aquacultura
2.1 - Culturas anuais e perenes não-madeireiras
7 - Modificações nos sistemas naturais
7.1 - Incêndios e supressão de incêndios
7.1.1 - Aumento da frequência/intensidade de incêndios","","","","","",""
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Acratosaura","Acratosaura spinosa","","Acratosaura spinosa","Rodrigues, Cassimiro, Freitas & Silva, 2009","Lagarto-espinhoso","Répteis","04/2021","Em Perigo","","B1ab(iii)","Acratosaura spinosa é endêmica do Brasil, conhecida dos campos rupestres de altitude da Serra do Sincorá, entre 997 e 1.250 metros de altitude, na região da Chapada Diamantina, município de Mucugê, no estado da Bahia. Sua extensão de ocorrência foi estimada em 512 km². A espécie possui hábitat específico e parece ocorrer em baixas densidades. A principal ameaça é o aumento da frequência e intensidade de incêndios na região, inclusive dentro do Parque Nacional da Chapada Diamantina, que afetam a espécie principalmente por provocarem alterações na vegetação nativa. As plantações de monoculturas no entorno com intenso uso de agrotóxicos são outra ameaça. Essa atividade e o aumento da frequência de incêndios, potencializado pelo intenso fluxo de turistas e ocupações no entorno do Parque, provocam declínio contínuo da qualidade do hábitat. Considerando os registros de ocorrência e os incêndios como principal ameaça, foram definidas três localizações. Portanto, Acratosaura spinosa foi avaliada como Em Perigo (EN), pelo critério B1ab(iii).","Sim","Não","Bahia","|Nordeste|","Caatinga","Sub-bacia Itapecuru-Paraguaçu","PARNA da Chapada Diamantina","","","","Desconhecida","2 - Agropecuária e Aquacultura
2.1 - Culturas anuais e perenes não-madeireiras
2.1.4 - Agricultura de escala desconhecida
6 - Distúrbios humanos
6.1 - Atividades recreacionais/turísticas
7 - Modificações nos sistemas naturais
7.1 - Incêndios e supressão de incêndios
7.1.1 - Aumento da frequência/intensidade de incêndios
9 - Poluição
9.3 - Agropecuária e florestal
9.3.3 - Herbicidas e pesticidas","","Plano de Ação Nacional (PAN)","Plano de Ação Nacional para a Conservação da Herpetofauna do Nordeste - 2º ciclo, Plano de Ação Nacional para a Conservação dos Répteis e Anfíbios Ameaçados de Extinção na Serra do Espinhaço","","",""
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Alexandresaurus","Alexandresaurus camacan","","Alexandresaurus camacan","Rodrigues, Pellegrino, Dixo, Verdade, Pavan, Argôlo & Sites Jr, 2007","Calanguinho-do-Alexandre","Répteis","04/2021","Vulnerável","","B1ab(iii)","Alexandresaurus camacan é endêmica do Brasil, com ocorrência na região da Mata Atlântica do estado da Bahia. Sua extensão de ocorrência foi calculada em 19.175 km&sup2;. A espécie é encontrada em florestas em bom estado de conservação ou cabrucas com serapilheira úmida. Os ambientes em que a espécie pode ser encontrada encontram-se em manchas dispersas em meio a florestas secundárias, degradadas e áreas convertidas em plantações ou pastagens. Essas atividades também provocam declínio contínuo da qualidade do habitat. Considerando a especificidade de habitat e a baixa capacidade de dispersão da espécie, sua população encontra-se severamente fragmentada. Portanto, Alexandresaurus camacan foi avaliada como Vulnerável (VU) pelo critério B1ab(iii).","Sim","Não","Bahia","|Nordeste|","Mata Atlântica","Sub-bacia Itapecuru-Paraguaçu","REBIO de Una","ÁREA DE PROTEÇÃO AMBIENTAL LAGOA ENCANTADA","RPN Salto Apepique, RPPN Fazenda Panema, RPPN Reserva Natural da Serra do Teimoso","","Desconhecida","2 - Agropecuária e Aquacultura
2.1 - Culturas anuais e perenes não-madeireiras
2.1.4 - Agricultura de escala desconhecida
2 - Agropecuária e Aquacultura
2.3 - Pecuária
2.3.4 - Pecuária em escala desconhecida
5 - Uso de recursos biológicos
5.3 - Extração florestal
5.3.3 - Efeitos indiretos - subsistência/pequena escala","","Plano de Ação Nacional (PAN)","Plano de Ação Nacional para a Conservação da Herpetofauna Ameaçada da Mata Atlântica Nordestina, Plano de Ação Nacional para a Conservação da Herpetofauna do Nordeste - 2º ciclo","","",""
"Animalia","Chordata","Reptilia","Squamata","Alopoglossidae","Alopoglossus","Alopoglossus amazonius","","","Ruthven, 1924","","Répteis","04/2021","Menos Preocupante","","","Alopoglossus amazonius é endêmica do Brasil, do bioma Amazônia, conhecida somente para o estado de Rondônia. A espécie pode ser encontrada na serrapilheira de florestas de terra firme. Sua distribuição está inserida na região denominada arco do desmatamento da Amazônia, onde o desmatamento é intenso e vem ocorrendo em função da expansão de lavouras, pastagens, áreas urbanas e assentamentos rurais. A construção de hidrelétricas no rio Madeira afetou o hábitat da espécie e incêndios frequentes e cada vez mais intensos também representam ameaça. Mesmo diante desse cenário, não há evidências de que as possam colocar a espécie em risco de extinção em curto prazo. Além disso, há registros em unidades de conservação, inclusive de proteção integral. Por essas razões, Alopoglossus amazonius foi avaliada como Menos Preocupante (LC).","Sim","Não","Rondônia","|Norte|","Amazônia","Sub-bacia Madeira","FLONA Jamari, PARNA Mapinguari, PARNA Serra da Cutia","PARQUE ESTADUAL DE GUAJARÁ-MIRIM, RESERVA BIOLÓGICA TRAÇADAL","","Não","Desconhecida","2 - Agropecuária e Aquacultura
2.1 - Culturas anuais e perenes não-madeireiras
2 - Agropecuária e Aquacultura
2.3 - Pecuária
7 - Modificações nos sistemas naturais
7.1 - Incêndios e supressão de incêndios
7.1.1 - Aumento da frequência/intensidade de incêndios","","Outra","","","118",""
"Animalia","Chordata","Reptilia","Squamata","Alopoglossidae","Alopoglossus","Alopoglossus angulatus","","Alopoglossus angulatus","(Linnaeus, 1758)","","Répteis","10/2020","Menos Preocupante","","","Alopoglossus angulatus é endêmica da Amazônia oriental, a leste dos rios Madeira e Negro, ocorrendo no Brasil, Suriname, Guiana e Guiana Francesa. No Brasil, a espécie é amplamente distribuída na Amazônia, com registros no Amapá, Pará e Amazonas. É encontrada na serapilheira de terra firme e várzeas, usualmente perto da água. Não são conhecidas ameaças que possam colocá-la em risco de extinção em curto prazo. Portanto, A. angulatus foi avaliada como Menos Preocupante (LC).","Não","Não","Amapá, Amazonas, Pará","|Norte|","Amazônia","Sub-bacia Amapá Litoral
Sub-bacia Foz Amazonas
Sub-bacia Gurupi
Sub-bacia Madeira
Sub-bacia Negro
Sub-bacia Tapajós
Sub-bacia Tocantins Baixo
Sub-bacia Trombetas
Sub-bacia Xingu","FLONA do Amapá, RESEX Riozinho do Anfrísio","","","Não","Desconhecida","","","","","","",""
"Animalia","Chordata","Reptilia","Squamata","Alopoglossidae","Alopoglossus","Alopoglossus atriventris","","Alopoglossus atriventris","Duellman, 1973","","Répteis","10/2020","Menos Preocupante","","","Alopoglossus atriventris ocorre na Amazônia ocidental, com registros no Brasil, Colômbia, Equador e Peru. No Brasil, a espécie possui ampla distribuição na Amazônia, ocorrendo desde a fronteira com o Peru, no estado do Amazonas, até o oeste do Pará, incluindo registros no Acre e em Rondônia. Não há ameaças que possam colocá-la em risco de extinção. Portanto, A. atriventris foi avaliada como Menos Preocupante (LC).","Não","Não","Acre, Amazonas, Pará, Rondônia","|Norte|","Amazônia","Sub-bacia Madeira
Sub-bacia Purus
Sub-bacia Solimões
Sub-bacia Trombetas","FLONA de Humaitá, FLONA Iquiri, PARNA da Serra da Cutia, PARNA da Serra do Divisor, PARNA do Jaú, REBIO do Rio Trombetas, RESEX Arapixi, RESEX Auati-Paraná, RESEX do Baixo Juruá, RESEX do Rio Jutaí","FLORESTA ESTADUAL CANUTAMA, RESERVA EXTRATIVISTA CANUTAMA","","Não","Desconhecida","","","","","","",""
"Animalia","Chordata","Reptilia","Squamata","Alopoglossidae","Alopoglossus","Alopoglossus avilapiresae","","","Ribeiro-Jr, Choueri, Lobos, Venegas, Torres-Carvajal & Werneck, 2020","","Répteis","04/2021","Menos Preocupante","","","Alopoglossus avilapiresae é encontrada na porção oeste da Amazônia, com registros no Brasil, Colômbia e Peru. No Brasil, ocorre a oeste dos rios Madeira e Negro, nos estados do Amazonas e Acre. Sua distribuição é ampla no país e abrange extensas áreas de floresta em bom estado de conservação, sem ameaças que a coloquem em risco de extinção em curto prazo. Portanto, Alopoglossus avilapiresae foi avaliada como Menos Preocupante (LC).","Não","Não","Acre, Amazonas","|Norte|","Amazônia","Sub-bacia Negro","PARNA Serra do Divisor, RESEX Chico Mendes","RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL AMANÃ, RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL MAMIRAUÁ","","Não","Estável","","","","","","",""
