Suborder,Family,Species,Year,Endemic
Amphisbaenia,Amphisbaenidae,Amphisbaena carli,2010,yes
Amphisbaenia,Amphisbaenidae,Amphisbaena filiformis,2016,yes
Amphisbaenia,Amphisbaenidae,Amphisbaena maranhensis,2012,yes
Amphisbaenia,Amphisbaenidae,Amphisbaena mebengokre,2019,yes
Amphisbaenia,Amphisbaenidae,Amphisbaena persephone,2014,yes
Amphisbaenia,Amphisbaenidae,Leposternon maximus,2011,yes
Amphisbaenia,Amphisbaenidae,Leposternon mineiro,2018,yes
Sauria,Alopoglossidae,Alopoglossus collii,2020,yes
Sauria,Gymnophthalmidae,Bachia didactyla,2011,yes
Sauria,Gymnophthalmidae,Bachia geralista,2013,yes
Sauria,Gymnophthalmidae,Psilops seductus,2017,yes
Sauria,Gymnophthalmidae,Rondonops biscutatus,2015,no
Sauria,Gymnophthalmidae,Vanzosaura savanicola,2014,yes
Sauria,Leiosauridae,Enyalius capetinga,2018,yes
Sauria,Scincidae,Copeoglossum oreades,2025,yes
Sauria,Teiidae,Ameiva jacuba,2013,yes
Sauria,Teiidae,Ameivula cipoensis,2014,yes
Sauria,Teiidae,Ameivula confusioniba,2011,no
Sauria,Teiidae,Ameivula nigrigula,2011,no
Sauria,Teiidae,Ameivula pyrrhogularis,2013,no
Sauria,Teiidae,Ameivula xacriaba,2014,yes
Sauria,Teiidae,Tupinambis matipu,2018,yes
Sauria,Tropiduridae,Stenocercus albolineatus,2015,yes
Sauria,Tropiduridae,Stenocercus canastra,2019,yes
Sauria,Tropiduridae,Tropidurus lagunablanca,2016,no
Serpentes,Anomalepididae,Liotyphlops taylori,2018,yes
Serpentes,Colubridae,Apostolepis adhara,2018,yes
Serpentes,Colubridae,Apostolepis kikoi,2018,yes
Serpentes,Colubridae,Atractus spinalis,2013,yes
Serpentes,Colubridae,Atractus stygius,2019,yes
Serpentes,Colubridae,Atractus tartarus,2016,no
Serpentes,Colubridae,Chironius brazili,2015,yes
Serpentes,Colubridae,Chironius xaraes,2026,no
Serpentes,Colubridae,Dryophylax phoenix,2017,no
Serpentes,Colubridae,Helicops boitata,2019,yes
Serpentes,Colubridae,Helicops phantasma,2021,yes
Serpentes,Colubridae,Leptodeira tarairiu,2022,no
Serpentes,Colubridae,Leptophis mystacinus,2025,yes
Serpentes,Colubridae,Philodryas pseudomamba,2026,no
Serpentes,Colubridae,Tantilla selmae,2024,no
Serpentes,Elapidae,Micrurus bonita,2024,no
Serpentes,Elapidae,Micrurus janisrozei,2024,no
Serpentes,Leptotyphlopidae,Epictia clinorostris,2010,yes
Serpentes,Leptotyphlopidae,Trilepida acutirostris,2011,yes
Serpentes,Leptotyphlopidae,Trilepida jani,2012,yes
Serpentes,Tropidophiidae,Tropidophis preciosus,2012,yes
Serpentes,Typhlopidae,Amerotyphlops arenensis,2015,no
