"","Amazon","Atlantic Forest","Caatinga","Cerrado","Pampa","Pantanal"
"Acanthochelys macrocephala",0,0,0,19.78,0,80.22
"Acanthochelys radiolata",1.06,95.24,2.65,1.06,0,0
"Acanthochelys spixii",0,40.97,2.43,23.99,32.61,0
"Chelonoidis carbonarius",38.77,18.15,11.69,25.23,0,6.15
"Chelonoidis denticulatus",82.72,8.46,1.1,6.25,0,1.47
"Chelus fimbriata",84.44,0,0,15.56,0,0
"Hydromedusa maximiliani",0,95.45,0,4.55,0,0
"Hydromedusa tectifera",0,64.31,0,8.22,27.48,0
"Kinosternon scorpioides",60.65,9.02,20.8,8.52,0,1
"Mesoclemmys gibba",93.71,0,0,6.29,0,0
"Mesoclemmys perplexa",0,0,72.09,27.91,0,0
"Mesoclemmys tuberculata",0,18.77,70.03,11.2,0,0
"Mesoclemmys vanderhaegei",7.51,7.21,0,82.88,0.6,1.8
"Phrynops geoffroanus",19.61,27.76,20.13,32.24,0,0.26
"Platemys platycephala",97.9,0,0,2.1,0,0
"Podocnemis expansa",54.77,0,0,45.23,0,0
"Podocnemis unifilis",91.98,0,0,7.95,0,0.06
"Rhinoclemmys punctularia",84.68,10.48,0,4.84,0,0
"Trachemys adiutrix",21.25,0,15,63.75,0,0
